አፍሪቃ	Afrika
ጃፓን	Japan
ደቡብ አሜሪካ	Sydamerika
ኖርዌይ	Norge
ኢንግላንድ	England
ስኮትላንድ	Skottland
ዌልስ	Wales
ስሜን አየርላንድ	Nordirland
አየርላንድ ሪፐብሊክ	Irland
ሀንጋሪ	Ungern
እስፓንያ	Spanien
አሜሪካ	USA
ቤልጅግ	Belgien
ሉክሰምበርግ	Luxemburg
መሬት	Jorden
ህይወት	Liv
የሰው ልጅ	Människa
ጆርጅ ዋሽንግተን	George Washington
ፊንላንድ	Finland
ስዊድን	Sverige
ዴንማርክ	Danmark
ፖላንድ	Polen
ሊትዌኒያ	Litauen
ጣልያን	Italien
ስዊዘርላንድ	Schweiz
ኦስትሪያ	Österrike
ግሪክ (አገር)	Grekland
ቱርክ	Turkiet
ፖርቱጋል	Portugal
አውሮፓ	Europa
እስያ	Asien
ስሜን አሜሪካ	Nordamerika
አንታርክቲካ	Antarktis
ውክፔዲያ	Wikipedia
ሆላንድ	Nederländerna
ኒው ዮርክ ከተማ	New York
ዋሺንግተን ዲሲ	Washington, D.C.
ሳን ፍራንሲስኰ	San Francisco
በርሊን	Berlin
ሎስ አንጄሌስ	Los Angeles
ኮምፒዩተር	Dator
ቤርን	Bern
ዠኔቭ	Genève
ዙሪክ	Zürich
ድረ ገጽ መረብ	Internet
ባራክ ኦባማ	Barack Obama
ኡራጓይ	Uruguay
ባዝል	Basel
ለንደን	London
ካይሮ	Kairo
እስክንድርያ	Alexandria
ፖም	Äpple
ፓሪስ	Paris
አብርሀም ሊንከን	Abraham Lincoln
ጉግል	Google
ሜክሲኮ	Mexiko
አትላንቲክ ውቅያኖስ	Atlanten
ሰላማዊ ውቅያኖስ	Stilla havet
ካሊፎርኒያ	Kalifornien
ቦስቶን	Boston
ሰኞ	Måndag
ጃንዩዌሪ	Januari
ፌብሩዋሪ	Februari
ማርች	Mars (månad)
ማርስ	Mars (planet)
ኬንያ	Kenya
ኢትዮጵያ	Etiopien
ጋና	Ghana
ኤፕሪል	April
መይ	Maj
ጁን	Juni
ጁላይ	Juli
ኦገስት	Augusti
ሰፕቴምበር	September
ኦክቶበር	Oktober
ኖቬምበር	November
ዲሴምበር	December
ማክሰኞ	Tisdag
ረቡዕ	Onsdag
ሐሙስ	Torsdag
ዓርብ	Fredag
ቅዳሜ	Lördag
እሑድ	Söndag
አንበሳ	Lejon
ፈረንሣይ	Frankrike
ኤስፔራንቶ	Esperanto
ውሻ	Hund
ዩናይትድ ኪንግደም	Storbritannien
ድመት	Katt
የቻይና ሕዝባዊ ሪፐብሊክ	Kina
ፈረንሳይኛ	Franska
ዓሣ	Fiskar
ብራዚል	Brasilien
ሩሲያ	Ryssland
ባህር	Hav
ጥቁር ባሕር	Svarta havet
ፓይ	Pi
ቶሮንቶ	Toronto
አላባማ	Alabama
ሳው ፓውሉ	São Paulo
ኬበክ	Québec
ጂሚ ዌልስ	Jimmy Wales
