ܐܦܪܝܩܐ	Afrika
ܝܦܢ	Japan
ܐܡܪܝܩܐ ܬܝܡܢܝܬܐ	Sydamerika
ܢܘܪܒܝܓ	Norge
ܩܘܛܢܝܘܬܐ ܕܐܝܪܠܢܕ	Irland
ܡܓܪ	Ungern
ܐܣܦܢܝܐ	Spanien
ܐܘܚܕܢܐ ܡܚܝܕܐ	USA
ܒܠܓܝܩܐ	Belgien
ܠܘܟܣܡܒܘܪܓ	Luxemburg
ܬܒܝܠ	Universum
ܐܪܥܐ	Jorden
ܡܘܬܐ	Döden
ܒܪ ܐܢܫܐ	Människa
ܓܘܪܓ ܘܐܫܝܢܓܛܘܢ	George Washington
ܦܝܢܠܢܕ	Finland
ܣܘܝܕ	Sverige
ܕܐܢܡܐܪܩ	Danmark
ܦܘܠܢܕ	Polen
ܠܬܘܢܝܐ	Litauen
ܐܝܛܠܝܐ	Italien
ܣܘܝܣܪܐ	Schweiz
ܢܡܣܐ	Österrike
ܝܘܢ	Grekland
ܛܘܪܩܝܐ	Turkiet
ܦܘܪܛܘܓܠ	Portugal
ܐܘܪܘܦܐ (ܝܒܫܬܐ)	Europa
ܐܣܝܐ (ܝܒܫܬܐ)	Asien
ܐܡܪܝܩܐ ܓܪܒܝܝܬܐ	Nordamerika
ܐܢܛܐܪܩܛܝܩܐ	Antarktis
ܘܝܩܝܦܕܝܐ	Wikipedia
ܗܘܠܢܕܐ	Nederländerna
ܢܝܘ ܝܘܪܩ (ܡܕܝܢܬܐ)	New York
ܘܐܫܢܓܛܘܢ (ܐܪܫܟܝܬܐ)	Washington, D.C.
ܒܪܠܝܢ	Berlin
ܚܫܘܒܐ (ܡܐܟܢܐ)	Dator
ܒܪܢ	Bern
ܬܣܝܪܝܟ	Zürich
ܐܢܛܪܢܛ	Internet
ܒܪܐܩ ܐܘܒܐܡܐ	Barack Obama
ܠܘܢܕܘܢ	London
ܐܠܟܣܢܕܪܝܐ	Alexandria
ܚܙܘܪܐ	Äpple
ܦܐܪܝܣ	Paris
ܡܟܣܝܩܘ	Mexiko
ܐܘܩܝܢܘܣ ܐܛܠܢܛܝܐ	Atlanten
ܐܘܩܝܢܘܣ ܫܝܢܝܐ	Stilla havet
ܒܘܣܛܘܢ	Boston
ܬܪܝܢܒܫܒܐ	Måndag
ܟܢܘܢ ܒ	Januari
ܫܒܛ	Februari
ܐܕܪ	Mars (månad)
ܟܘܫ	Etiopien
ܢܝܣܢ	April
ܐܝܪ	Maj
ܚܙܝܪܢ	Juni
ܬܡܘܙ	Juli
ܐܒ	Augusti
ܐܝܠܘܠ	September
ܬܫܪܝܢ ܐ	Oktober
ܬܫܪܝܢ ܒ	November
ܟܢܘܢ ܐ	December
ܬܠܬܒܫܒܐ	Tisdag
ܐܪܒܥܒܫܒܐ	Onsdag
ܚܡܫܒܫܒܐ	Torsdag
ܥܪܘܒܬܐ	Fredag
ܫܒܬܐ (ܙܒܢܐ)	Lördag
ܚܕܒܫܒܐ	Söndag
ܐܪܝܐ	Lejon
ܦܪܢܣܐ	Frankrike
ܟܠܒܐ	Hund
ܡܠܟܘܬܐ ܡܚܝܕܬܐ	Storbritannien
ܩܛܐ	Katt
ܩܘܛܢܝܘܬܐ ܥܡܡܝܬܐ ܕܨܝܢ	Kina
ܠܫܢܐ ܦܪܢܣܝܐ	Franska
ܒܪܐܙܝܠ	Brasilien
ܪܘܣܝܐ	Ryssland
ܝܡܐ	Hav
ܝܡܐ ܐܘܟܡܐ	Svarta havet
Π	Pi (bokstav)
ܐܠܒܐܡܐ	Alabama
ܣܐܘ ܦܐܘܠܘ	São Paulo
ܩܝܒܩ (ܗܘܦܪܟܝܐ)	Québec
ܓܪܡܢ	Tyskland
ܒܠܐܪܘܣ	Vitryssland
ܠܫܢܐ ܓܪܡܢܝܐ	Tyska
ܐܠܗܐ	Gud
ܐܣܛܘܢܝܐ	Estland
ܛܝܣܬܐ	Flygplan
ܩܪܒܐ	Krig
1 (ܡܢܝܢܐ)	1 (tal)
2 (ܡܢܝܢܐ)	2 (tal)
3 (ܡܢܝܢܐ)	3 (tal)
4 (ܡܢܝܢܐ)	4 (tal)
5 (ܡܢܝܢܐ)	5 (tal)
ܠܐܛܒܝܐ	Lettland
ܐܘܩܪܐܝܢܐ	Ukraina
ܬܫܝܟ	Tjeckien
ܣܠܘܒܩܝܐ	Slovakien
ܣܠܘܒܢܝܐ	Slovenien
ܡܘܠܕܘܒܐ	Moldavien
ܪܘܡܢܝܐ	Rumänien
ܒܘܠܓܐܪܝܐ	Bulgarien
ܪܗܘܡܐ (ܡܕܝܢܬܐ)	Rom
ܩܘܛܢܝܘܬܐ ܕܡܩܕܘܢܝܐ	Makedonien
ܐܠܒܢܝܐ	Albanien
ܩܪܘܐܛܝܐ	Kroatien
ܒܘܣܢܐ ܘܗܪܬܣܓܘܒܝܢܐ	Bosnien och Hercegovina
ܐܙܪܒܝܓܐܢ	Azerbajdzjan
ܐܢܕܘܪܐ	Andorra
ܩܘܦܪܘܣ	Cypern
ܓܘܪܓܝܐ (ܐܬܪܐ)	Georgien
ܩܙܩܣܛܐܢ	Kazakstan
ܡܝܠܛܐ	Malta
ܡܘܢܐܩܘ	Monaco
ܛܘܪܐ ܐܘܟܡܐ	Montenegro
ܡܕܝܢܬܐ ܕܘܛܝܩܢ	Vatikanstaten
ܣܢ ܡܪܝܢܘ	San Marino
ܒܪܘܟܣܠ	Bryssel (region)
ܠܘܕܒܝܓ ܒܐܢ ܒܝܛܗܘܒܢ	Ludwig van Beethoven
ܠܫܢܐ ܛܘܪܩܝܐ	Turkiska
ܓܙܐܐܪ	Algeriet
ܐܘܙܒܩܣܛܐܢ	Uzbekistan
ܘܐܪܣܘ	Warszawa
ܚܡܪܐ (ܫܬܝܐ)	Vin
ܡܝܐ	Vatten
ܦܪܣ ܚܙܘܐ	Television
ܬܫܝܠܝ	Chile
ܐܠ ܓܪܝܩܘ	El Greco
ܝܫܘܥ	Jesus
ܠܫܢܐ (ܡܡܠܠܐ)	Språk
ܫܘܠܛܢ ܛܪܘܢܘܬܐ	Diktatur
ܡܡܠܠܘܬ ܟܘܟܒܐ	Astronomi
ܡܪܝܡ (ܐܡܗ ܕܝܫܘܥ)	Jungfru Maria
ܠܝܟܛܢܫܛܝܢ	Liechtenstein
ܐܕܘܠܦ ܗܝܛܠܪ	Adolf Hitler
ܠܝܢܘܟܣ	Linux
ܠܫܢܐ ܠܐܛܝܢܝܐ	Latin
ܒܚܪܝܢ	Bahrain
ܐܪܡܢܝܐ	Armenien
ܣܪܒܝܐ	Serbien
ܣܗܪܐ	Månen
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	Istanbul
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	Australien
ܦܝܣܝܟ	Fysik
ܩܘܪܐܢ	Koranen
ܐܣܠܐܡ	Islam
ܟܡܬܪܐ	Päronsläktet
ܠܟ ܒܐܘܢܣܐ	Lech Wałęsa
ܫܠܡܐ (ܫܝܢܐ)	Fred
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	Europeiska unionen
ܐܢܬܬܐ	Kvinna
ܛܝܙܐ	Analöppning
ܫܚܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Armhåla
ܗܒܒܐ	Blomma
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Anatomi
ܡܕܝܢܬܐ	Stad
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	Napoleon I
ܟܘܟܒܐ	Stjärna
ܫܡܫܐ	Solen
ܩܪܝܬܐ	By
ܝܡܐ ܕܡܕܢܚܐ	Östersjön
ܫܢܐ	Tänder
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	Wikimedia Commons
ܟܬܒܐ (ܣܦܪܐ)	Bok
ܝܘܡܐ	Dygn
ܠܠܝܐ	Natt
ܫܢܬܐ (ܙܒܢܐ)	År
ܕܪܐ	Sekel
ܐܘܣܠܘ	Oslo
ܠܫܒܘܢܐ	Lissabon
ܦܠܝܛܐ	Planet
ܙܡܪܘܬܐ	Musik
ܡܘܣܩܒܐ	Moskva
ܠܫܢܐ ܐܝܛܠܝܐ	Italienska
ܬܫܐܕ	Tchad
ܬܝܡܢܐ	Norr
ܢܝܘ ܙܝܠܢܕ	Nya Zeeland
ܓܪܒܝܐ	Söder
ܗܢܕܘ	Indien
ܦܪܙܠܐ	Järn
ܡܥܪܒܐ	Väster
ܡܕܢܚܐ	Öster
ܒܢܙܘܝܠܐ	Venezuela
ܛܠܦܣܢܐ	Schack
ܡܝܢ	Maine
ܣܘܣܝܐ	Häst
ܐܡܣܛܪܕܐܡ	Amsterdam
ܙܝܢܐ	Vapen
ܚܝܘܬܐ	Djur
ܩܘܠܘܡܒܝܐ	Colombia
ܢܝܘ ܗܐܡܦܫܪ	New Hampshire
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	Leonardo da Vinci
ܡܐܣܐܬܫܘܣܬܣ	Massachusetts
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	Utrecht (provins)
ܟܘܢܝܬܝܟܬ	Connecticut
ܐܝܪܐܢ	Iran
ܥܝܪܐܩ	Irak
ܐܠܐܣܟܐ	Alaska
ܐܝܣܪܐܝܠ	Israel
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	Utrecht
ܝܡܢ	Jemen
ܠܫܢܐ ܦܘܠܢܕܝܐ	Polska
ܝܘܪܕܢܢ	Jordanien
ܩܝܪܓܝܙܣܛܐܢ	Kirgizistan
ܐܪܝܙܘܢܐ	Arizona
ܟܘܘܝܬ (ܐܬܪܐ)	Kuwait
ܠܒܢܢ	Libanon
ܐܘܪܝܓܘܢ	Oregon
ܐܡܪܝܩܐ	Amerika
ܝܘܬܐ	Utah
ܥܘܡܐܢ	Oman
ܦܐܩܣܛܐܢ	Pakistan
ܩܛܪ	Qatar
ܣܥܘܕܝܐ	Saudiarabien
ܝܘܣܦ ܣܛܐܠܝܢ	Josef Stalin
ܣܘܪܝܐ	Syrien
ܛܐܓܝܩܣܛܐܢ	Tadzjikistan
ܦܪܣ ܩܠܐ	Radio
ܛܘܪܩܡܢܣܛܐܢ	Turkmenistan
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ	Förenade Arabemiraten
ܐܦܓܐܢܣܛܐܢ	Afghanistan
ܕܗܒܐ	Guld
ܡܠܝ	Mali
ܦܝܠܝܦܝܢܝܐ	Filippinerna
ܩܘܛܢܝܘܬܐ ܕܐܦܪܝܩܐ ܡܨܥܝܬܐ	Centralafrikanska republiken
ܐܝܣܚܩ ܢܝܘܛܢ	Isaac Newton
ܫܥܘܬܐ (ܓܘܢܐ)	Gul
ܬܘܢܣ (ܐܬܪܐ)	Tunisien
ܬܝܡܢܐ ܕܣܘܕܐܢ	Sydsudan
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ	Kongo-Brazzaville
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ	Kongo-Kinshasa
ܦܐܦܐ ܝܘܚܢܢ ܦܘܠܘܣ ܬܪܝܢܐ	Johannes Paulus II
ܛܒܝܠܝܣܝ	Tbilisi
ܩܐܡܪܘܢ	Kamerun
ܠܘܒܐ	Libyen
ܡܘܪܝܛܢܝܐ	Mauretanien
ܡܓܪܒ	Marocko
ܢܝܓܪ	Niger
ܣܘܕܐܢ	Sudan
ܩܫܬܐ ܕܡܪܢ	Regnbåge
ܗܐܡܒܘܪܓ	Hamburg
ܝܡܬܐ ܕܐܘܢܛܪܝܘ	Ontariosjön
ܝܡܬܐ ܕܣܘܦܝܪܝܘܪ	Övre sjön
ܓܐܘܓܪܦܝܐ	Geografi
ܠܒܐ	Hjärta
ܡܘܚܐ	Hjärna
ܓܠܕܐ	Hud
ܓܘܢܐ	Färg
ܦܪܐܓ	Prag
ܙܪܩܐ	Blå
ܟܣܦܐ (ܣܐܡܐ)	Silver
ܡܫܝܓܢ	Michigan
ܝܡܬܐ ܕܡܝܫܝܓܢ	Michigansjön
ܐܠܝܢܘܝ	Illinois
ܢܘܪܬ ܕܐܟܘܬܐ	North Dakota
ܣܐܘܬ ܕܐܟܘܬܐ	South Dakota
ܡܘܢܬܐܢܐ	Montana
ܘܐܝܘܡܝܢܓ	Wyoming
ܐܘܪܫܠܡ	Jerusalem
ܐܝܕܐܗܘ	Idaho
ܢܝܒܐܕܐ	Nevada
ܐܘܩܝܢܘܣ ܗܢܕܘܝܐ	Indiska oceanen
ܟܘܠܘܪܐܕܘ	Colorado
ܫܝܩܓܘ	Chicago
ܣܬܘܐ	Vinter
ܬܕܐܐ	Vår
ܩܝܛܐ	Sommar
ܬܫܪܝܬܐ	Höst
ܨܕܐܡ ܚܘܣܝܢ	Saddam Hussein
ܠܫܢܐ ܐܣܦܢܝܐ	Spanska
ܓܘܓܝ	Spindlar
ܐܒܐ (ܦܐܪܐ)	Frukt
ܒܪܓܝܢܝܐ	Virginia
ܝܡܬܐ ܕܝܘܪܘܢ	Huronsjön
ܢܝܘ ܝܘܪܩ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	New York (delstat)
