ཨ་ཧྥེ་རི་ཁ།	Afrika
ཉི་ཧོང་།	Japan
ནོར་ཝེ།	Norge
སི་ཁོ་ཁྲི་ལན་ཌི།	Skottland
ཨར་ལེན་ཌ།	Irland
ཧུང་གྷ་རི།	Ungern
ཞི་པན་ཡ།	Spanien
ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	USA
པེར་ཅིན།	Belgien
ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Luxemburg
སའི་གོ་ལ།	Jorden
འཚོ་བ།	Liv
ཤི་བ།	Döden
འགྲོ་བ་མི།	Människa
དགའ་སྐྱིད།	Lycka
ཧྥིན་ལན།	Finland
སི་ཝེ་དེན།	Sverige
དན་མྲག	Danmark
ཕོ་ལན།	Polen
ལི་ཐུ་ཨེ་ནི་ཡ།	Litauen
ཨི་ཏ་ལི།	Italien
སུད་སི།	Schweiz
ཨོ་སི་ཐྲི་ཡ།	Österrike
ཀེ་རི་སི།	Grekland
ཏུར་ཀི།	Turkiet
སྦི་རག	Öl
པོ་ཅུ་གྷལ།	Portugal
ཡོ་རོབ་གླིང་།	Europa
ཨེ་ཤེ་ཡ།	Asien
ལྷོ་མཐའི་གླིང་།	Antarktis
ཧོ་ལན།	Nederländerna
ནེའུ་ཡོར་ཀ།	New York
ཝ་ཤིན་ཏྲོན།	Washington, D.C.
སན་ཧྥུ་རན་སིས་ཁོ	San Francisco
པེར་ལིན།	Berlin
གློག་ཀླད།	Dator
པེར་ནེ།	Bern
ཀྲེ་ནེ་ཝ།	Genève
བ་རག་ཨོ་པྰ་མ།	Barack Obama
ཨུ་རུ་གུ་ཡེ།	Uruguay
པ་སེལ།	Basel
ལོན་ཊོན།	London
ཁ་ཡི་རོ	Kairo
ཡ་ལི་ཧྲན་ད	Alexandria
ཕ་རི།	Paris
མེག་སི་ཀོ།	Mexiko
ནུབ་རྒྱ་མཚོ་ཆེན་པོ།	Atlanten
ཞི་བདེ་རྒྱ་མཚོ་ཆེན་པོ།	Stilla havet
ཁྰ་ལེ་ཧྥོར་ནི་ཡ།	Kalifornien
བོ་སེ་ཊོན།	Boston
གཟའ་ཟླ་བ།	Måndag
མིག་དམར།	Mars (planet)
མ་ཨེར་སི།	Mars (mytologi)
ཁེ་ནི་ཡ།	Kenya
ཨི་ཐི་ཨོ་པི་ཡ།	Etiopien
ཀ་ན།	Ghana
གཟའ་མིག་དམར།	Tisdag
གཟའ་ལྷག་པ།	Onsdag
གཟའ་ཕུར་བུ།	Torsdag
གཟའ་པ་སངས།	Fredag
གཟའ་སྤེན་པ།	Lördag
གཟའ་ཉི་མ།	Söndag
སེང་གེ།	Lejon
ཧྥ་རན་སི།	Frankrike
ཁྱི།	Hund
དབྱིན་ཇི་མཉམ་འབྲེལ།	Storbritannien
ཞི་མི།	Katt
ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Kina
