非洲	Afrika
日本	Japan
南美洲	Sydamerika
挪威	Norge
愛爾蘭	Irland
西班牙	Spanien
美國	USA
地球	Jorden
過世	Döden
人	Människa
幸福	Lycka
喬治·華盛頓	George Washington
芬蘭	Finland
瑞典	Sverige
丹麥	Danmark
波蘭	Polen
意大利	Italien
希臘	Grekland
土耳其	Turkiet
啤酒	Öl
歐洲	Europa
亞洲	Asien
北美洲	Nordamerika
南極洲	Antarktis
維基百科	Wikipedia
荷蘭	Nederländerna
卵	Penis
紐約市	New York
華盛頓哥倫比亞特區	Washington, D.C.
舊金山	San Francisco
柏林	Berlin
洛杉磯	Los Angeles
電腦	Dator
互聯網	Internet
奧巴馬	Barack Obama
倫敦	London
蘋果	Äpple
巴黎	Paris
亞伯拉罕·林肯	Abraham Lincoln
Google	Google
墨西哥	Mexiko
大西洋	Atlanten
太平洋	Stilla havet
加利福尼亞州	Kalifornien
波士頓	Boston
禮拜一	Måndag
一月	Januari
二月	Februari
三月	Mars (månad)
火星	Mars (planet)
埃塞俄比亞	Etiopien
4月	April
5月	Maj
六月	Juni
七月	Juli
八月	Augusti
九月	September
十月	Oktober
十一月	November
十二月	December
禮拜二	Tisdag
禮拜三	Onsdag
禮拜四	Torsdag
禮拜五	Fredag
禮拜六	Lördag
禮拜天	Söndag
法國	Frankrike
狗	Hund
英國	Storbritannien
貓	Katt
中華人民共和國	Kina
法語	Franska
魚	Fiskar
酒	Alkoholdryck
巴西	Brasilien
俄羅斯	Ryssland
方形	Kvadrat
海	Hav
黑海	Svarta havet
圓周率	Pi
阿拉巴馬州	Alabama
聖保羅	São Paulo
德國	Tyskland
德語	Tyska
土星	Saturnus
飛行器	Flygplan
打仗	Krig
1	1 (tal)
2	2 (tal)
3	3 (tal)
4	4 (tal)
5	5 (tal)
無限	Oändlighet
烏克蘭	Ukraina
羅馬	Rom
克罗地亚	Kroatien
古巴	Kuba
印度尼西亞	Indonesien
莫扎特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
南非	Sydafrika
維基文庫	Wikisource
葡萄酒	Vin
水	Vatten
木	Trä
電視	Television
冰島語	Isländska
摩內	Claude Monet
韋拿克	Diego Velázquez
智利	Chile
耶穌	Jesus
貓王	Elvis Presley
伽利略	Galileo Galilei
水星	Merkurius
歷史	Historia
金星	Venus
語言	Språk
愛	Kärlek
木星	Jupiter
天王星	Uranus
海王星	Neptunus
天文學	Astronomi
新加坡	Singapore
科學	Vetenskap
運動	Sport
希特勒	Adolf Hitler
Facebook	Facebook
第一次世界大戰	Första världskriget
第二次世界大戰	Andra världskriget
鐘	Ur
數學	Matematik
拉丁語	Latin
月光	Månen
伊斯坦布爾	Istanbul
澳大利亞	Australien
物理學	Fysik
阿根廷	Argentina
電信	Telekommunikation
朝鮮民主主義人民共和國	Nordkorea
柬埔寨	Kambodja
恐龍	Dinosaurier
駄	Hjul
狄德羅	Denis Diderot
心智	Psyke
萬維網	World Wide Web
女人	Kvinna
詩	Poesi
脇胛	Armhåla
檸檬	Citron
香蕉	Banan
666年	666
花	Blomma
珠穆朗瑪峰	Mount Everest
城市	Stad
拿破崙	Napoleon I
太陽	Solen
光年	Ljusår
雨果	Victor Hugo
大洋洲	Oceanien
田徑	Friidrott
太陽系	Solsystemet
地獄	Helvete
書	Bok
日	Dygn
年	År
哥白尼	Nicolaus Copernicus
可利俄捌拿七世	Kleopatra VII av Egypten
音樂	Musik
莫斯科	Moskva
意大利語	Italienska
北	Norr
南	Söder
印度	Indien
散文	Prosa
鐵	Järn
西	Väster
東	Öster
莫里哀	Molière
莎士比亞	William Shakespeare
國際象棋	Schack
成吉思汗	Djingis khan
馬	Häst
武器	Vapen
動物	Djur
藝術	Konst
哥倫比亞	Colombia
佛教	Buddhism
植物	Växt
達芬奇	Leonardo da Vinci
雞	Tamhöna
北冰洋	Norra ishavet
伊朗	Iran
伊拉克	Irak
阿拉斯加州	Alaska
以色列	Israel
亞利桑那州	Arizona
老撾	Laos
美洲	Amerika
馬來西亞	Malaysia
緬甸	Burma
巴基斯坦	Pakistan
網球	Tennis
沙特阿拉伯	Saudiarabien
斯大林	Josef Stalin
柏拉圖	Platon
中華民國	Taiwan
亞里斯多德	Aristoteles
泰國	Thailand
火車	Tåg
無線電	Radio
越南	Vietnam
韓國	Sydkorea
金	Guld
蘇伊士運河	Suezkanalen
孟加拉	Bangladesh
卡夫卡	Franz Kafka
蘇格拉底	Sokrates
羅德·阿門森	Roald Amundsen
菲律賓	Filippinerna
南極點	Sydpolen
北極點	Nordpolen
牛頓	Isaac Newton
愛因斯坦	Albert Einstein
黃	Gul
北京	Peking
剛果民主共和國	Kongo-Kinshasa
聖安東尼奧 (德克薩斯州)	San Antonio
多托頁夫斯基	Fjodor Dostojevskij
毛伢子	Spädbarn
甘地	Mahatma Gandhi
人骨子頭畫	Tecknad serie
尼日利亞	Nigeria
達爾文	Charles Darwin
卡爾·林奈	Carl von Linné
凱撒大帝	Julius Caesar
聯合國	Förenta nationerna
但丁	Dante Alighieri
地理學	Geografi
色	Färg
藍	Blå
銀	Silver
電	Elektrisk laddning
耶路撒冷	Jerusalem
印度洋	Indiska oceanen
科索沃	Kosovo
蕭邦	Frédéric Chopin
分類:總類	Kategori:Topp
阿爾卑斯山	Alperna
帕斯卡	Blaise Pascal
西洋跳棋	Damspel
芝加哥	Chicago
披頭士	The Beatles
西班牙語	Spanska
巴赫	Johann Sebastian Bach
歌劇	Opera
費城	Philadelphia
德里	Delhi
水果	Frukt
錢	Pengar
列寧	Vladimir Lenin
衛吉	Vergilius
屋大維	Augustus
汽車	Bil
東京	Tokyo prefektur
麥哲倫	Ferdinand Magellan
華格納	Richard Wagner
雅典	Aten
世界標準時間	Koordinerad universell tid
印地語	Hindi
阿肯色州	Arkansas
瑪當娜	Madonna (artist)
路易·暗式將	Louis Armstrong
法蘭克福	Frankfurt am Main
聖經	Bibeln
胡志明市	Ho Chi Minh-staden
真耶穌教會	The True Jesus Church
英語	Engelska
同海市	Dong Hoi
孔斯科沃拉	Końskowola
2000年	2000
2003年	2003
2002年	2002
2001年	2001
2012年	2012
2011年	2011
2010年	2010
2009年	2009
2013年	2013
2014年	2014
2015年	2015
2008年	2008
2004年	2004
2005年	2005
2006年	2006
2007年	2007
1900年	1900
1901年	1901
戴高樂	Charles de Gaulle
1902年	1902
1903年	1903
1904年	1904
1905年	1905
1907年	1907
1906年	1906
1908年	1908
1909年	1909
1992年	1992
1991年	1991
1990年	1990
1993年	1993
1994年	1994
1995年	1995
1996年	1996
1910年	1910
1911年	1911
1912年	1912
1913年	1913
1914年	1914
1915年	1915
1916年	1916
1997年	1997
1998年	1998
1999年	1999
1917年	1917
1918年	1918
喫嗰	Mat
1月1號	1 januari
1月2號	2 januari
1920年	1920
1月3號	3 januari
1919年	1919
1921年	1921
1922年	1922
1月4號	4 januari
1923年	1923
1924年	1924
1月5號	5 januari
1月6號	6 januari
1月7號	7 januari
1月8號	8 januari
1月9號	9 januari
1月10號	10 januari
1月11號	11 januari
1月12號	12 januari
1月13號	13 januari
1月14號	14 januari
1月15號	15 januari
1月16號	16 januari
1月17號	17 januari
1月18號	18 januari
1月19號	19 januari
1月20號	20 januari
工業革命	Industriella revolutionen
1月21號	21 januari
1月22號	22 januari
1月23號	23 januari
羅馬帝國	Romerska kejsardömet
1月24號	24 januari
1月25號	25 januari
1月26號	26 januari
微軟	Microsoft
1月27號	27 januari
1月28號	28 januari
1月29號	29 januari
1月30號	30 januari
1月31號	31 januari
12月2號	2 december
12月1號	1 december
12月3號	3 december
12月7號	7 december
12月5號	5 december
12月8號	8 december
12月10號	10 december
12月6號	6 december
12月9號	9 december
12月4號	4 december
2月1號	1 februari
2月2號	2 februari
2月3號	3 februari
庫魯夫市	Kurów
2月4號	4 februari
2月5號	5 februari
2月6號	6 februari
2月7號	7 februari
2月8號	8 februari
2月9號	9 februari
2月10號	10 februari
化學	Kemi
2月14號	14 februari
2月13號	13 februari
2月15號	15 februari
2月11號	11 februari
2月12號	12 februari
2月19號	19 februari
2月17號	17 februari
2月16號	16 februari
2月18號	18 februari
2月20號	20 februari
2月21號	21 februari
2月22號	22 februari
2月23號	23 februari
2月24號	24 februari
2月25號	25 februari
2月26號	26 februari
27年	27
2月27號	27 februari
2月28號	28 februari
12月11號	11 december
