Afirka	Afrika
Japan	Japan
Norway	Norge
Ireland	Irland
Hungariya	Ungern
An Spàinn	Spanien
Amurika	USA
Beljik	Belgien
Luksamburg	Luxemburg
Duniya	Jorden
Yan-adam	Människa
Finland	Finland
Sweden	Sverige
Denmark	Danmark
Poland	Polen
Lithuania	Litauen
Italiya	Italien
Switzerland	Schweiz
Austriya	Österrike
Greek	Grekland
Turkiyya	Turkiet
Portugal	Portugal
Turai	Europa
Asiya	Asien
Amirka ta Arewa	Nordamerika
Wikipedia	Wikipedia
Berlin	Berlin
Airbus	Airbus
Na'ura	Dator
Yanar gizo	Internet
Barack Obama	Barack Obama
Pariis	Paris
Kenya	Kenya
Ethiopia	Etiopien
Zaki	Lejon
Faransa	Frankrike
Esperanto	Esperanto
Kare	Hund
Birtaniya	Storbritannien
Kyanwa	Katt
Sin	Kina
Kifi	Fiskar
Rasha	Ryssland
Teku	Hav
São Paulo	São Paulo
Jamus	Tyskland
Iceland	Island
Istoniya	Estland
Jirgin sama	Flygplan
Ɗaya	1 (tal)
Biyu	2 (tal)
Uku	3 (tal)
Huɗu	4 (tal)
Biyar	5 (tal)
Laitfiya	Lettland
Ukraniya	Ukraina
Kazech	Tjeckien
Slofakiya	Slovakien
Sloveniya	Slovenien
MOldufiniya	Moldavien
Romainiya	Rumänien
Bulgairiya	Bulgarien
Masadoiniya	Makedonien
Albaniya	Albanien
Kroatiya	Kroatien
Azerbaijan	Azerbajdzjan
Andorra	Andorra
Cyprus	Cypern
Georgia (country)	Georgien
Kazakystan	Kazakstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatican	Vatikanstaten
San Marino	San Marino
Indonesiya	Indonesien
Afirka ta kudu	Sydafrika
Aljeriya	Algeriet
Uzbekistan	Uzbekistan
Ruwa	Vatten
Chile	Chile
Isa Almasihu	Jesus
Singafora	Singapore
Ilmi	Vetenskap
Liechtenstein	Liechtenstein
Hitler	Adolf Hitler
Facebook	Facebook
Baharain	Bahrain
Armeniya	Armenien
Serbiya	Serbien
Wata	Månen
Santanbul	Istanbul
Asturaliya	Australien
Koriya ta Arewa	Nordkorea
Kambodiya	Kambodja
Musulunci	Islam
Rana	Solen
Angela Merkel	Angela Merkel
Timor-Leste	Östtimor
Duniyoyi	Planet
Cadi	Tchad
Indiya	Indien
Mangolia	Mongoliet
Dabba	Djur
Shuka	Växt
Kaza	Tamhöna
Jersey	Jersey
Aladu	Gris
Iran	Iran
Irak	Irak
Isra'ila	Israel
Yemen	Jemen
Jordan	Jordanien
Kyrgystan	Kirgizistan
Kuwait	Kuwait
Laos	Laos
Lebanon	Libanon
Maldives	Maldiverna
Maleziya	Malaysia
Myanmar	Burma
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudiyya	Saudiarabien
Sri Lanka	Sri Lanka
Siriya	Syrien
Tajikistan	Tadzjikistan
Thailand	Thailand
Turkmenistan	Turkmenistan
Taraiyar larabawa	Förenade Arabemiraten
Vietnam	Vietnam
Koriya ta Kudu	Sydkorea
Da Simpsons	Simpsons
Afghanistan	Afghanistan
Bangladash	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhutan
Brunei	Brunei
Filipin	Filippinerna
Togo	Togo
Benin	Benin
Botswana	Botswana
Burkina faso	Burkina Faso
Burundi	Burundi
Jamhuriyar dimokuradiyya Kwango	Kongo-Kinshasa
Gine	Guinea
Kameru	Kamerun
Libya	Libyen
Muritaniya	Mauretanien
Nijar	Niger
Nijeriya	Nigeria
Uganda	Uganda
Senegal	Senegal
Julius Caesar	Julius Caesar
Sudan	Sudan
Majalisar Ɗinkin Duniya	Förenta nationerna
Kofi Annan	Kofi Annan
Montevideo	Montevideo
Augustus	Augustus
Gibraltar	Gibraltar
Mota	Bil
Buenos Aires	Buenos Aires
Abarba	Ananas
Zinedine Yazid Zidane	Zinedine Zidane
Baibûl	Bibeln
Gaskiyan Cocin Isa	The True Jesus Church
Concepción, Chile	Concepción, Chile
Końskowola	Końskowola
Maciji	Ormar
Kimiya	Kemi
Lima	Lima
Santiago de Chile	Santiago de Chile
Osasco	Osasco
Dong Hoi Filin	Dong Hoi flygplats
Curitiba	Curitiba
Confucius	Konfucius
Kiristancìì	Kristendom
Nahiya	Världsdelar och kontinenter
Tsuntsu	Fåglar
Main Page	Portal:Huvudsida
Saratov	Saratov
Bus	Buss
Åland	Åland
Makkah	Mecka
Canary Islands	Kanarieöarna
Category:Candidates for speedy deletion	Kategori:Snabbraderingar
Sahara	Sahara
Kyautar Nobel	Nobelpriset
Sauro	Stickmyggor
Raƙumi	Kameler
Margaret Thatcher	Margaret Thatcher
Nelson Mandela	Nelson Mandela
Category:Fàransà	Kategori:Frankrike
Hakkokin Yan-adam	Mänskliga rättigheter
Hong Kong	Hongkong
Rio de Janeiro	Rio de Janeiro
Addini	Religion
Muhammad	Muhammed
Isle of Man	Isle of Man
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Bishiya	Träd
APACHE	Apache HTTP Server
Lissafi	Tal
Masara	Majs
Ƙasashen Duniya	Lista över självständiga stater
Dabbar beya	Björnar
Sankara	Cancer
Kurãme	Dövhet
Polio	Polio
Makaman nukiliya	Kärnvapen
Macau	Macao
Raƙumin dawa	Giraff
Template:Link FA	Mall:Link FA
Wikipedia:Community Portal	Wikipedia:Bybrunnen
Jimina	Struts
Tara	9 (tal)
Jaki	Åsna
Tuje	Trappar
Jamhuriyar Sin	Taiwan (ö)
Bakwai	7 (tal)
Takwas	8 (tal)
Dabbar rendiya	Hjortdjur
Tafarnuwa	Vitlök
Shida	6 (tal)
Moshchena	Mosjtjena
Paltoga	Paltoga
