非洲	Afrika
日本	Japan
南美洲	Sydamerika
Nò-vî	Norge
Sû-kak-làn	Skottland
Vî-ngì-sṳ̂	Wales
Pet Oi-ngì-làn	Nordirland
Hiûng-ngà-li	Ungern
Sî-pân-ngà	Spanien
Mî-koet	USA
Pí-li-sṳ̀	Belgien
Lù-sêm-pó	Luxemburg
Yî-chhiu	Universum
Thi-khiù	Jorden
Sâng-miang	Liv
Ngìn-lui	Människa
George Washington	George Washington
Fûn-làn	Finland
Shuì-tién	Sverige
Tan-ma̍k	Danmark
Pô-làn	Polen
Li̍p-thâu-vón	Litauen
Yi-thai-li	Italien
Shuì-sṳ	Schweiz
O-thi-li	Österrike
Hî-lia̍p	Grekland
Thú-ngí-khì	Turkiet
Phù-thò-ngà	Portugal
歐洲	Europa
亞洲	Asien
北美洲	Nordamerika
南極洲	Antarktis
Vì-kî Pak-khô	Wikipedia
Hò-làn	Nederländerna
Néu-yok-sṳ	New York
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Washington, D.C.
Khiu-kîm-sân	San Francisco
Pak-lìm	Berlin
Lo̍k-chhám-kî	Los Angeles
Thien-nó	Dator
Mióng-chi-mióng-lu	Internet
Barack Obama	Barack Obama
Vû-lâ-kûi	Uruguay
Lùn-tûn	London
Phìn-kó	Äpple
Pâ-lì-sṳ	Paris
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google
Me̍t-sî-kô	Mexiko
Thai-sî-yòng	Atlanten
Thai-phìn-yòng	Stilla havet
Kâ-li-fuk-nì-â	Kalifornien
Pô-sṳ-tun	Boston
Fó-sên	Mars (planet)
Âi-set-ngò-pí-â	Etiopien
Sṳ̂-é	Lejon
Fap-koet	Frankrike
Sṳ-kie-ngî	Esperanto
Kiéu-è	Hund
Yîn-koet	Storbritannien
Meu-é	Katt
中華人民共和國	Kina
Fap-ngî	Franska
Ǹg-è	Fiskar
Pâ-sî	Brasilien
François Hollande	François Hollande
Ngò-lò-sṳ̂	Ryssland
Kîn-ǹg	Valar
Chang-fông-hìn	Kvadrat
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabama
Québec-sén	Québec
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Tet-koet	Tyskland
Pha̍k-ngò-lò-sṳ̂	Vitryssland
Tet-ngî	Tyska
Pên-tó	Island
Song-ti	Gud
Oi-sâ-nì-â	Estland
David Cameron	David Cameron
Thú-sên	Saturnus
Ku-thin-yi̍t Fî-kî	Flygplan
1	1 (tal)
2	2 (tal)
3	3 (tal)
4	4 (tal)
5	5 (tal)
George W. Bush	George W. Bush
Lâ-thot-vì-â	Lettland
Vû-khiet-làn	Ukraina
Tshia̍p-khiet	Tjeckien
Sṳ̂-lo̍k-vì-nì-â	Slovenien
Lò-mâ-nì-â	Rumänien
Pó-kâ-li-â	Bulgarien
Lò-mâ	Rom
Mâ-khì-tun	Makedonien
Â-ngì-pâ-nì-â	Albanien
Khiet-lò-âi-sî-â	Kroatien
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	Bosnien och Hercegovina
Â-set-pai-kiông	Azerbajdzjan
Set-phû-lu-sṳ̂	Cypern
Kak-lû-kit-â	Georgien
Hâ-sat-khiet-sṳ̂-thán	Kazakstan
Mí-li-thai	Malta
Mô-na̍p-kô	Monaco
Mùng-thi̍t-nui-kô-lò	Montenegro
Sṳn Mâ-li-nok	San Marino
Kú-pâ	Kuba
Eiffel Thiet-thap	Eiffeltornet
Yin-thu-nì-sî-â	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Pi-tô-fûn	Ludwig van Beethoven
Thú-ngí-khì-ngî	Turkiska
Nàm-fî	Sydafrika
Vû-tsṳ̂-phe̍t-khiet-sṳ̂-thán	Uzbekistan
Pô-tsṳ-nàm	Poznań
Fà-sâ	Warszawa
Súi	Vatten
Thien-sṳ	Television
Chṳ-li	Chile
Yâ-sû	Jesus
Súi-sên	Merkurius
Li̍t-sṳ́	Historia
Phìn-kó Kûng-sṳ̂	Apple Inc.
Kîm-sên	Venus
Ngî-ngièn	Språk
Muk-sên	Jupiter
Thiên-vòng-sên	Uranus
Pu-lie̍t-thap-nì	Bretagne
Hói-vòng-sên	Neptunus
Thiên-vùn-ho̍k	Astronomi
Sîn-kâ-po	Singapore
Khô-ho̍k	Vetenskap
Montréal	Montréal
Lie̍t-kî-tûn-sṳ-tên	Liechtenstein
Kiam-khiâu	Cambridge
Thi-ngi-chhṳ Sṳ-kie Thai-chan	Andra världskriget
Cologne	Köln
Kak-tên-nì-â	Gdynia
Sṳ̍p-chhiet-chhiâng	Szczecin
Sṳ-ho̍k	Matematik
Lâ-tên-ngî	Latin
Pâ-lìm	Bahrain
Â-mî-nì-â	Armenien
Set-ngì-vì-â	Serbien
Ngie̍t-khiù	Månen
Àu-thai-li-â	Australien
Vu̍t-lî-ho̍k	Fysik
Â-kîn-thìn	Argentina
Pi-lû	Peru
Sâng-vu̍t-ho̍k	Biologi
Tsêu-siên Mìn-tsú Tsú-ngi Ngìn-mìn Khiung-fò-koet	Nordkorea
Kán-pu-chhài	Kambodja
Khiúng-liùng	Dinosaurier
Yî-sṳ̂-làn-kau	Islam
Lech Wałęsa	Lech Wałęsa
Lin-é	Hjul
Lyon	Lyon
Êu-chû Lièn-mèn	Europeiska unionen
Rhône-Alpes	Rhône-Alpes
Chhiòn-khiù Chṳ̂-sín Mióng	World Wide Web
Ńg-ngìn	Kvinna
Khiûng-tsiâu	Banan
Fâ	Blomma
Mâ-lî-â-na̍p-hói	Marianergraven
Chû-mu̍k-lòng-mâ-fûng	Mount Everest
Sàng-sṳ	Stad
Nâ-pho-lùn yit-sṳ	Napoleon I
Ngit-tèu	Solen
Pâ-sṳ-tet	Louis Pasteur
大洋洲	Oceanien
Thai-yòng Hì	Solsystemet
Pô-lò-tit-hói	Östersjön
Ngâ-chhṳ	Tänder
Khîn	Väte
Hoi (氦)	Helium
Angela Merkel	Angela Merkel
Lî	Litium
Phì	Beryllium
Si	Bok
Ngit	Dygn
Ngièn	År
Sṳ-ki	Sekel
Lò-tsṳ (Pô-làn)	Łódź
Khà-thok-vì-chṳ	Katowice
Ngie̍t-sû-fû	Rzeszów
Phìn	Bor
Thàn	Kol
Tham	Kväve
Yòng	Syre
Hàng-sên	Planet
Yîm-ngo̍k	Musik
Rennes	Rennes
Mo̍k-sṳ̂-khô	Moskva
Fuk	Fluor
Yi-thai-li-ngî	Italienska
Nái	Neon
Sṳn Pí-tet-páu	Sankt Petersburg
Na̍p	Natrium
北	Norr
Mî	Magnesium
Lî (鋁)	Aluminium
Néu Sî-làn	Nya Zeeland
南	Söder
Yin-thu	Indien
Si̍t	Kisel
Fap	Francium
Lìn	Fosfor
Thiet	Järn
Tûng-kâ	Tonga
西	Väster
Liù-vòng	Svavel
東	Öster
Liu̍k	Klor
Pâ-pu-â Néu-kí-nui-â	Papua Nya Guinea
Vî-lièn Sâ-sṳ-pí-â	William Shakespeare
Â (氬)	Argon
Kap	Kalium
Koi	Kalcium
Yèn	Bly
Mùng-kú-koet	Mongoliet
Khong (鈧)	Skandium
Thai	Titan
Genghis Khan	Djingis khan
Fàm	Vanadin
Mien-yîn	Maine
Kok	Krom
Mâ	Häst
Thûng-vu̍t	Djur
Sû-li-nàm	Surinam
Màng	Mangan
Pâ-lâ-kûi	Paraguay
Koi-â-nâ	Guyana
Ngi-su̍t	Konst
Lòi	Rhenium
Kô-lùn-pí-â	Colombia
Kû	Kobolt
Vû	Volfram
Ngiap (鎳)	Nickel
Fu̍t-kau	Buddhism
Pô-li-vì-â	Bolivia
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Trinidad och Tobago
Chhṳ̍t-vu̍t	Växt
Sîn	Zink
Néu Hàn-pu-ha	New Hampshire
Pí-â-vùi-sṳ̂-thok-khiet	Białystok
Ngà-mâi-kâ	Jamaica
Mà-sat-chû-set	Massachusetts
Drenthe-sén	Drenthe
Overijssel-sén	Overijssel
Kûa-thi-mâ-là	Guatemala
Gelderland-sén	Gelderland
Pâ-hâ-mâ	Bahamas
Không-nái-tí-khiet-chû	Connecticut
Kiê-é	Tamhöna
Ha-vî-yî	Hawaii
Fùng-tû-lâ-sṳ̂	Honduras
Tô-mí-nì-kâ	Dominica
