अफ़्रीका	Afrika
जापान	Japan
दक्षिण अमेरिका	Sydamerika
नॉर्वे	Norge
इंग्लैण्ड	England
स्कॉटलैण्ड	Skottland
वेल्स	Wales
उत्तरी आयरलैंड	Nordirland
आयरलैण्ड गणतंत्र	Irland
हंगरी	Ungern
स्पेन	Spanien
संयुक्त राज्य अमेरिका	USA
बेल्जियम	Belgien
लक्ज़मबर्ग	Luxemburg
ब्रह्माण्ड	Universum
पृथ्वी	Jorden
जीवन	Liv
मृत्यु	Döden
मनुष्य	Människa
जॉर्ज वॉशिंगटन	George Washington
टिम बर्नर्स ली	Tim Berners-Lee
फ़िनलैण्ड	Finland
स्वीडन	Sverige
डेनमार्क	Danmark
पोलैंड	Polen
लिथुआनिया	Litauen
इटली	Italien
स्विट्ज़रलैण्ड	Schweiz
ऑस्ट्रिया	Österrike
यूनान	Grekland
तुर्की	Turkiet
बियर	Öl
पुर्तगाल	Portugal
यूरोप	Europa
एशिया	Asien
उत्तर अमेरिका	Nordamerika
अंटार्कटिका	Antarktis
विकिपीडिया	Wikipedia
ऑल योर बेस आर बिलॉन्ग टू अस	All your base are belong to us
नीदरलैण्ड	Nederländerna
लॉलकैट	Lolcat
शिश्न	Penis
पीएचपी	PHP
न्यूयॉर्क नगर	New York
वॉशिंगटन डी॰ सी॰	Washington, D.C.
सैन फ्रांसिस्को	San Francisco
बर्लिन	Berlin
लॉस एंजेलिस	Los Angeles
बोइंग	Boeing
एयरबस	Airbus
अभिकलित्र	Dator
बर्न	Bern
जिनेवा	Genève
ज़्यूरिख़	Zürich
आइआरसी	Internet Relay Chat
अंतरजाल	Internet
बराक ओबामा	Barack Obama
उरुग्वे	Uruguay
प्रिण्टर	Skrivare
मीडियाविकि	Mediawiki
लंदन	London
काहिरा	Kairo
सिरदर्द	Huvudvärk
सिकन्दरिया	Alexandria
सेब	Äpple
पेरिस	Paris
अब्राहम लिंकन	Abraham Lincoln
एंड्रॉइड (प्रचालन तंत्र)	Android (operativsystem)
गूगल	Google
मेक्सिको	Mexiko
अन्ध महासागर	Atlanten
प्रशान्त महासागर	Stilla havet
कैलिफ़ोर्निया	Kalifornien
बोस्टन	Boston
सोमवार	Måndag
दिक्	Rum (fysik)
जनवरी	Januari
फ़रवरी	Februari
मार्च	Mars (månad)
मंगल ग्रह	Mars (planet)
मार्स	Mars (mytologi)
कीनिया	Kenya
इथियोपिया	Etiopien
घाना	Ghana
अप्रैल	April
मई	Maj
जून	Juni
जुलाई	Juli
अगस्त	Augusti
सितम्बर	September
अक्टूबर	Oktober
नवम्बर	November
दिसम्बर	December
मंगलवार	Tisdag
बुधवार	Onsdag
गुरुवार	Torsdag
शुक्रवार	Fredag
शनिश्चरवार	Lördag
रविवार	Söndag
सिंह (पशु)	Lejon
फ़्रान्स	Frankrike
एस्पेरांतो	Esperanto
कुत्ता	Hund
यूनाइटेड किंगडम	Storbritannien
बिल्ली	Katt
चीनी जनवादी गणराज्य	Kina
फ़्रान्सीसी भाषा	Franska
विक्षनरी	Wiktionary
मछली	Fiskar
इथेनॉल	Etanol
मादक पेय	Alkoholdryck
ब्राज़ील	Brasilien
सुषव	Alkoholer
रूस	Ryssland
तिमिगण	Valar
प्रकाशीय तन्तु	Fiberoptik
वर्गाकार	Kvadrat
सागर (जलनिकाय)	Hav
कृष्ण सागर	Svarta havet
पाई	Pi
विकि	Wiki
टोरंटो	Toronto
अलाबामा	Alabama
साओ पाउलो	São Paulo
क्यूबेक	Québec
पिज़्ज़ा	Pizza
पास्ता	Pasta
बोइंग 747	Boeing 747
विकिमीडिया फाउंडेशन	Wikimedia Foundation
जिमी वेल्स	Jimmy Wales
जर्मनी	Tyskland
बेलारूस	Vitryssland
जर्मन भाषा	Tyska
आइसलैण्ड	Island
ईश्वर	Gud
एस्टोनिया	Estland
डेविड कैमरून	David Cameron
शनि (ग्रह)	Saturnus
शनि के छल्ले	Saturnus ringar
चॉकलेट	Choklad
आलूबालू	Körsbär
वायुयान	Flygplan
युद्ध	Krig
एक	1 (tal)
शून्य	0 (tal)
अनंत	Oändlighet
स्टीफन हार्पर	Stephen Harper
जॉर्ज वॉकर बुश	George W. Bush
आयत	Rektangel
लातविया	Lettland
युक्रेन	Ukraina
चेक गणराज्य	Tjeckien
स्लोवाकिया	Slovakien
स्लोवेनिया	Slovenien
विल्नुस	Vilnius
मॉल्डोवा	Moldavien
रोमानिया	Rumänien
बुल्गारिया	Bulgarien
रोम	Rom
मैसिडोनिया	Makedonien
अल्बानिया	Albanien
ग्रीनलैण्ड	Grönland
क्रोएशिया	Kroatien
बॉस्निया और हर्ज़ेगोविना	Bosnien och Hercegovina
अज़रबैजान	Azerbajdzjan
अण्डोरा	Andorra
साइप्रस	Cypern
जॉर्जिया	Georgien
कज़ाख़िस्तान	Kazakstan
माल्टा	Malta
मोनैको	Monaco
वैटिकन सिटी	Vatikanstaten
सान मारिनो	San Marino
ब्रुसेल्स	Bryssel (region)
क्यूबा	Kuba
बेलीज़	Belize
एफिल टॉवर	Eiffeltornet
बारबाडोस	Barbados
रास्पबेरी पाई	Raspberry Pi
इंटेल	Intel
कुञ्जीपटल	Tangentbord
जावा प्रोग्रामिंग भाषा	Java (programspråk)
इंडोनेशिया	Indonesien
क्वर्टी	QWERTY
वोल्फ़गांक आमडेयुस मोत्सार्ट	Wolfgang Amadeus Mozart
तुर्कीयाई भाषा	Turkiska
दक्षिण अफ़्रीका	Sydafrika
लिंकिन पार्क	Linkin Park
अल्जीरिया	Algeriet
सैण्डी (चक्रवात)	Orkanen Sandy
उज़्बेकिस्तान	Uzbekistan
ताशकन्द	Tasjkent
वारसॉ	Warszawa
फोर्त ब्रिड्ज	Forthbron (järnvägsbro)
यूरोविज़न संगीत प्रतियोगिता	Eurovision Song Contest
व्हिस्की	Whisky
शराब	Vin
जल	Vatten
चमड़ा	Läder
लकड़ी	Trä
टुर	Tours
दूरदर्शन	Television
मैथुन	Kön
आइसलैण्डिक भाषा	Isländska
क्लाद मोने	Claude Monet
चिली	Chile
ईसा मसीह	Jesus
एल्विस प्रेस्ली	Elvis Presley
शारीरिक दण्ड	Kroppsstraff
गैलीलियो गैलिली	Galileo Galilei
बुध (ग्रह)	Merkurius
इतिहास	Historia
एप्पल इंक॰	Apple Inc.
शुक्र	Venus
भाषा	Språk
प्यार	Kärlek
तानाशाही	Diktatur
गैलेक्सी	Galax
बृहस्पति (ग्रह)	Jupiter
मिशेल बाचेलेत	Michelle Bachelet
आकाशगंगा	Vintergatan
बिग बैंग सिद्धांत	Big Bang
अरुण (ग्रह)	Uranus
ब्रतान्य	Bretagne
अंग्रेज़ी विकिपीडिया	Engelskspråkiga Wikipedia
निकोलस सर्कोजी	Nicolas Sarkozy
वरुण (ग्रह)	Neptunus
खगोल शास्त्र	Astronomi
सिंगापुर	Singapore
विज्ञान	Vetenskap
ब्रह्माण्डविद्या	Kosmologi
यम (बौना ग्रह)	Pluto
मॉन्ट्रियल	Montréal
मुफ्त सॉफ्टवेयर	Fri programvara
मरियम (ईसा मसीह की माँ)	Jungfru Maria
लिख्टेंश्टाइन	Liechtenstein
खेल	Sport
एडोल्फ हिटलर	Adolf Hitler
फेसबुक	Facebook
गूगल+	Google Plus
विकिलीक्स	Wikileaks
प्रथम विश्वयुद्ध	Första världskriget
दूसरा विश्वयुद्ध	Andra världskriget
तृतीय विश्व युद्ध	Tredje världskriget
गिटहब	Github
कोलोन	Köln
भ्रष्टाचार (आचरण)	Korruption
विकिउद्धरण	Wikiquote
विकियात्रा	Wikivoyage
वोदका	Vodka
उबण्टू	Ubuntu
लिनक्स	Linux
श्टेटीन	Szczecin
माप विद्या	Mätteknik
गणित	Matematik
लातिन भाषा	Latin
बहरीन	Bahrain
आर्मीनिया	Armenien
जेन्ना जेम्सन	Jenna Jameson
अंकन (लिपि)	Kilskrift
हिग्स बोसॉन	Higgsboson
सर्बिया	Serbien
चन्द्रमा	Månen
इस्तांबुल	Istanbul
ऑस्ट्रेलिया	Australien
बॉब मार्ले	Bob Marley
कार्ल सेगन	Carl Sagan
खगोलजीव विज्ञान	Astrobiologi
भौतिक शास्त्र	Fysik
अर्जेण्टीना	Argentina
दूरसंचार	Telekommunikation
पेरू	Peru
जीव विज्ञान	Biologi
उड़न तश्तरी (अन्तरिक्ष)	Ufo
उत्तर कोरिया	Nordkorea
कम्बोडिया	Kambodja
काइपर घेरा	Kuiperbältet
क़ुरआन	Koranen
डायनासोर	Dinosaurier
प्राणी विज्ञान	Zoologi
इस्लाम	Islam
नाशपाती	Päronsläktet
वनस्पति विज्ञान	Botanik
लेक वालेसा	Lech Wałęsa
चक्र	Hjul
इनसाइक्लोपीदी	Encyclopédie
मन	Psyke
ब्रिटैनिका विश्वकोष	Encyclopædia Britannica
ल्यों	Lyon
यूरोपीय संघ	Europeiska unionen
स्टार वॉर्स	Star Wars
विश्व व्यापी वेब	World Wide Web
नारी	Kvinna
सोफिया	Sofia
जलवाही सेतु	Akvedukt
काव्य	Poesi
कम्प्यूटर वायरस	Datorvirus
हिरोशिमा और नागासाकी परमाणु बमबारी	Atombomberna över Hiroshima och Nagasaki
मिलानो	Milano
स्मृति (मनोविज्ञान)	Minne
टोरीनो	Turin
मल	Avföring
गुदा	Analöppning
नीबू	Citron
केला	Banan
एमिल जोला	Émile Zola
666	666
पुष्प	Blomma
मेरियाना गर्त	Marianergraven
व्लदीमिर विसोत्स्की	Vladimir Vysotskij
एवरेस्ट पर्वत	Mount Everest
शरीररचना-विज्ञान	Anatomi
शहर	Stad
नेपोलियन बोनापार्ट	Napoleon I
ओलम्पस मोन्स	Olympus Mons
शरीर क्रिया विज्ञान	Fysiologi
तारा	Stjärna
वेसुवियस पर्वत	Vesuvius
सूर्य	Solen
आकाश	Himmel
पी॰ऍस॰आर॰ बी1257+12	PSR B1257+12
लुई पास्चर	Louis Pasteur
प्रकाश-वर्ष	Ljusår
गाँव	By
विक्टर ह्यूगो	Victor Hugo
ओशिआनिया	Oceanien
जुज़ॅप्पे गारिबाल्दि	Giuseppe Garibaldi
एथलेटिक्स (खेल)	Friidrott
सौर मण्डल	Solsystemet
बाल्टिक सागर	Östersjön
ट्रिएस्ट	Trieste
विस्चुला नदी	Wisła
शॉन्ज़-एलिसीज़	Champs-Élysées
दाँत	Tänder
हाइड्रोजन	Väte
हिलियम	Helium
विकिमीडिया कॉमन्स	Wikimedia Commons
एंजेला मर्केल	Angela Merkel
लिथियम	Litium
बेरिलियम	Beryllium
लाउडस्पीकर	Högtalare
पुस्तक	Bok
दिन	Dygn
पूर्वी तिमोर	Östtimor
वर्ष	År
शताब्दी	Sekel
राइन नदी	Rhen
ओस्लो	Oslo
बॉन	Bonn
आंल सेंटस डे	Alla helgons dag
ब्लैक होल (काला छिद्र)	Svart hål
सीरीस (बौना ग्रह)	Ceres (dvärgplanet)
लिस्बन	Lissabon
इचिरो सुजुकी	Ichiro Suzuki
हउमेया (बौना ग्रह)	Haumea (dvärgplanet)
माकेमाके (बौना ग्रह)	Makemake (dvärgplanet)
ऍरिस (बौना ग्रह)	Eris (dvärgplanet)
दुबई	Dubai
लियोनेल मेस्सी	Lionel Messi
बोरॉन	Bor
निकोलस कोपरनिकस	Nicolaus Copernicus
वर्साइ	Versailles
कार्बन	Kol
वोल्गा नदी	Volga
नाइट्रोजन	Kväve
बेर्गमो	Bergamo
ऑक्सीजन	Syre
इंटर मिलान	FC Internazionale Milano
ग्रह	Planet
क्लियोपाट्रा ७	Kleopatra VII av Egypten
संगीत	Musik
वेनिस	Venedig
नारुतो	Naruto
तापमापी	Termometer
लील	Lille
