frikytu'a	Afrika
pongu'e	Japan
ketytu'a	Sydamerika
noreg	Norge
airland	Irland
madjiar	Ungern
sangu'e	Spanien
mergu'e	USA
beldjym	Belgien
lEtsyburg	Luxemburg
terdi	Jorden
remna	Människa
gugdrsu,omi	Finland
sueriges	Sverige
danmark	Danmark
polskas	Polen
lietuvas	Litauen
italias	Italien
elvetias	Schweiz
ysteraic	Österrike
xesygu'e	Grekland
turk	Turkiet
birje	Öl
potygu'e	Portugal
rontu'a	Europa
zdotu'a	Asien
bemtu'a	Nordamerika
ziptu'a	Antarktis
uikipidias	Wikipedia
nederland	Nederländerna
pinji	Penis
niu,IORK. zei tcadu	New York
.uacintyn. zei tcadu	Washington, D.C.
berlin	Berlin
skami	Dator
tcadrjenevu	Genève
byRAK.obamas	Barack Obama
uruguais	Uruguay
london	London
plise	Äpple
paris	Paris
mexygu'e	Mexiko
atlantik. zei braxamsi	Atlanten
pasifik. zei braxamsi	Stilla havet
kalifornias	Kalifornien
pavma'i	Januari
relma'i	Februari
mars	Mars (planet)
kenias	Kenya
itiopias	Etiopien
cinfo	Lejon
fasygu'e	Frankrike
esperantos	Esperanto
gerku	Hund
ritygu'e	Storbritannien
mlatu	Katt
jugygu'e	Kina
fasybau	Franska
finpe	Fiskar
razgu'e	Brasilien
rukygu'e	Ryssland
xamsi	Hav
xekri xamsi	Svarta havet
alybamas	Alabama
sankt. paulos	São Paulo
dotygu'e	Tyskland
belrus	Vitryssland
dotybau	Tyska
island	Island
estis	Estland
saturn	Saturnus
ci'i	Oändlighet
djordj. ualker. buc	George W. Bush
vurgu'e	Ukraina
tcesk.zei gubyseltru	Tjeckien
slovensk	Slovakien
slovEni,as	Slovenien
moldovas	Moldavien
romanias	Rumänien
bylgAri,as	Bulgarien
romas	Rom
xrvatskas	Kroatien
andoras	Andorra
kazaksTAN	Kazakstan
maltas	Malta
brusel.	Bryssel (region)
kubas	Kuba
beliz	Belize
bidgu'e	Indonesien
vulfygan.amade,us.motsart	Wolfgang Amadeus Mozart
ludvix.fan.beitoven	Ludwig van Beethoven
nanfi'ogu'e	Sydafrika
jexygu'e	Algeriet
djacu	Vatten
tciles	Chile
iesus	Jesus
galileos.galileis	Galileo Galilei
merkurios	Merkurius
citri	Historia
venus	Venus
bangu	Språk
barda tarci bo girzu	Galax
iupiter	Jupiter
uranos	Uranus
neptun	Neptunus
kesyske	Astronomi
singapura	Singapore
saske	Vetenskap
mu'eske	Kosmologi
pluton	Pluto
lictenctain	Liechtenstein
.adolf. .itlyr.	Adolf Hitler
remoi ke terdi nunjamna	Andra världskriget
ubuntus	Ubuntu
linuks	Linux
cmaci	Matematik
U2	U2
xigzo	Higgsboson
serbias	Serbien
lunra	Månen
sralygu'e	Australien
termu'eske	Fysik
getygu'e	Argentina
perus	Peru
mivyske	Biologi
berti zei .dcosyn	Nordkorea
danlu kamjikyzi'e	Djurrätt
dalske	Zoologi
musyjda	Islam
spaske	Botanik
lex.wauensas.	Lech Wałęsa
lion	Lyon
ropno gunma	Europeiska unionen
ninmu	Kvinna
pemci	Poesi
badna	Banan
napoleon	Napoleon I
tarci	Stjärna
solri	Solen
lu'is. pastyr.	Louis Pasteur
viktor.ugos	Victor Hugo
poltu'a	Oceanien
solri ciste	Solsystemet
baltik. xamsi	Östersjön
cidro	Väte
solnavni	Helium
roksodna	Litium
jinmrberilo	Beryllium
djedi	Dygn
nicte	Natt
nanca	År
ctona'a	Sekel
tcadrkatovitse	Katowice
jicmrboro	Bor
.nikolaus.kopernikus	Nicolaus Copernicus
tabno	Kol
trano	Kväve
kijno	Syre
plini	Planet
zgike	Musik
lil.	Lille
moskovas	Moskva
li'orkliru	Fluor
ninynavni	Neon
sankt. peterburg	Sankt Petersburg
tcad	Tchad
sodna	Natrium
lidgusyjinme	Magnesium
jinmrmalume	Aluminium
zis. poi cnino	Nya Zeeland
xingu'e	Indien
cancmu	Kisel
fasysodna	Francium
sackycmu	Fosfor
tirse	Järn
sliri	Svavel
kliru	Klor
.uiliam. cekspir.	William Shakespeare
laznynavni	Argon
sodnrkali	Kalium
bogjinme	Kalcium
cnisa	Bly
mongolo	Mongoliet
jinmrskandi	Skandium
jinmrtitani	Titan
benesuel	Venezuela
caxmati	Schack
tcingis. xan	Djingis khan
jinmrvanadi	Vanadin
rogjinme	Krom
xirma	Häst
