Afelika	Afrika
Japan	Japan
Norge	Norge
Hongrie	Ungern
Espania	Spanien
Belezi	Belgien
Luxembourg	Luxemburg
Ntoto	Jorden
Muntu	Människa
Finlandi	Finland
Suedi	Sverige
Danemark	Danmark
Pologne	Polen
Lietuva	Litauen
Italia	Italien
Suisi	Schweiz
Autriche	Österrike
Gelesi	Grekland
Turki	Turkiet
Mputulukesi	Portugal
Mputu	Europa
Azia	Asien
Pays-Bas	Nederländerna
Berlin	Berlin
Ludinatelo	Dator
Paris	Paris
Kenya	Kenya
Itiopia	Etiopien
Gana	Ghana
Nkosi	Lejon
Fwalansa	Frankrike
Royaume-Uni	Storbritannien
Nyawu	Katt
Sina	Kina
Kifalanse	Franska
Brazil	Brasilien
François Hollande	François Hollande
Rusia	Ryssland
Kalunga	Hav
Alemanyi	Tyskland
Belarusia	Vitryssland
Kidoitce	Tyska
Islande	Island
Estonia	Estland
Ndèke	Flygplan
Vita	Krig
4 (ntalu)	4 (tal)
Latvia	Lettland
Uklenyi	Ukraina
République tchèque	Tjeckien
Slovakia	Slovakien
Slovenia	Slovenien
Vilnius	Vilnius
Moldova	Moldavien
Romania	Rumänien
Balgaria	Bulgarien
Roma	Rom
Makedonia	Makedonien
Albania	Albanien
Kroatia	Kroatien
Bosna	Bosnien och Hercegovina
Azerbaidjan	Azerbajdzjan
Andora	Andorra
Kipros	Cypern
Kazakhstan	Kazakstan
Malta	Malta
Monako	Monaco
Monte Negro	Montenegro
Vatican	Vatikanstaten
Saint-Marin	San Marino
Repubilika ya Afelika ya Sudi	Sydafrika
Algeria	Algeriet
Uzbekistan	Uzbekistan
Maza	Vatten
Chile	Chile
Yesu	Jesus
Ndinga	Språk
Kizabu	Vetenskap
Liechtenstein	Liechtenstein
Ubuntu	Ubuntu
Skopje	Skopje
Kilatini	Latin
Bahrain	Bahrain
Armenia	Armenien
Serbie	Serbien
Australia	Australien
Fizika	Fysik
Kisilamu	Islam
Dinu	Tänder
Mweta	Planet
Moskva	Moskva
Saint Petersburg	Sankt Petersburg
Tasadi	Tchad
Nôde	Norr
India	Indien
Kibende	Järn
Kibulu	Djur
Mutako	Koppar
Ayiti	Haiti
Iran	Iran
Israel	Israel
Jordan	Jordanien
Kuwait	Kuwait
Amelika	Amerika
Oman	Oman
Qatar	Qatar
Lukalu	Tåg
Vietnam	Vietnam
Wolo	Guld
Mali	Mali
Ngola	Angola
Tanzania	Tanzania
Repubilika ya Afelika ya Kati	Centralafrikanska republiken
Togo	Togo
Tunisia	Tunisien
Zambia	Zambia
Zimbabwe	Zimbabwe
Beijing (kizunga)	Peking
Sudan ya Sudi	Sydsudan
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoro	Komorerna
Repubilika ya Kôngo	Kongo-Brazzaville
Repubilika ya Kôngo ya Dimokalasi	Kongo-Kinshasa
Djibuti	Djibouti
Bavaria	Bayern
Ginea ya Ekwatelo	Ekvatorialguinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
Ngabu	Gabon
Gambia	Gambia
Ginea	Guinea
Ginea-Bisau	Guinea-Bissau
Côte d'Ivoire	Elfenbenskusten
Kamerun	Kamerun
Kap Verde	Kap Verde
Lesotho	Lesotho
Liberia	Liberia
Libia	Libyen
Malagasi	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Moritania	Mauretanien
Mauritius	Mauritius
Maroko	Marocko
Musambiki	Moçambique
Namibia	Namibia
Nijer	Niger
Nizeria	Nigeria
Uganda	Uganda
Rwanda	Rwanda
Santu Tome na Prinsipe	São Tomé och Príncipe
Senangale	Senegal
Seychell	Seychellerna
Sierra Leone	Sierra Leone
Sômâlia	Somalia
Sudan	Sudan
Swati	Swaziland
Hamburg	Hamburg
Langi	Färg
Prague	Prag
Bule	Blå
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rheinland-Pfalz
Saarland	Saarland
Sachsen	Sachsen
Thüringen	Thüringen
Sachsen-Anhalt	Sachsen-Anhalt
Brandenburg	Brandenburg
Bremen (kizunga)	Bremen (delstat)
Kalasi:Categories	Kategori:Topp
Kispanya	Spanska
Mbuma	Frukt
Uetersen	Uetersen
Tomabîlu	Bil
Bordo	Bordeaux
Barcelona	Barcelona
Nanasi	Ananas
Kihindi	Hindi
Potsdam	Potsdam
Munich	München
Stockholm	Stockholm
Vaduz	Vaduz
Biblia	Bibeln
Ho Chi Minh City	Ho Chi Minh-staden
Dibundu ya Kieleka ya Yesu	The True Jesus Church
Kingelezi	Engelska
Đồng Hới	Dong Hoi
Concepción	Concepción, Chile
Końskowola	Końskowola
1917	1917
Kurów	Kurów
1971	1971
1969	1969
Santiago de Chile	Santiago de Chile
Loire-Atlantique	Loire-Atlantique
Ain (kizunga)	Ain
Aisne (kizunga)	Aisne
Vosges (kizunga)	Vosges (departement)
Allier (kizunga)	Allier (departement)
Jura (kizunga)	Jura (departement)
Hautes-Alpes	Hautes-Alpes
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Alpes-Maritimes	Alpes-Maritimes
Ardèche (kizunga)	Ardèche
Ardennes (kizunga)	Ardennes
Ariège (kizunga)	Ariège
Aube (kizunga)	Aube
Aude (kizunga)	Aude
Aveyron (kizunga)	Aveyron
Bouches-du-Rhône	Bouches-du-Rhône
Calvados (kizunga)	Calvados
Cantal (kizunga)	Cantal
Charente (kizunga)	Charente (departement)
Charente-Maritime	Charente-Maritime
Cher (kizunga)	Cher (departement)
Corrèze (kizunga)	Corrèze
Haute-Corse	Haute-Corse
Corse-du-Sud	Corse-du-Sud
Côte-d'Or	Côte-d’Or
Côtes-d'Armor	Côtes-d'Armor
Creuse (kizunga)	Creuse
Dordogne (kizunga)	Dordogne
Doubs (kizunga)	Doubs
Drôme (kizunga)	Drôme
Essonne (kizunga)	Essonne
Eure (kizunga)	Eure
Eure-et-Loir	Eure-et-Loir
Finistère	Finistère
Nilo	Nilen
Nzâdi Kôngo	Kongofloden
Adis Abeba	Addis Abeba
Ndjamena	N'Djamena
Bamako	Bamako
Guyane	Franska Guyana
Chillán	Chillán
Abuja	Abuja
Tübingen	Tübingen
Libreville	Libreville
Kinsasa	Kinshasa
Balazavile	Brazzaville
Dodoma	Dodoma
Lwanda	Luanda
Windhoek	Windhoek
Mubu	Flod
Osasko	Osasco
Kuritiba	Curitiba
Afelika ya Lumonso	Västafrika
Georgia (country)	Georgia (olika betydelser)
Kiyesu	Kristendom
Kontina	Världsdelar och kontinenter
Mbanza ya kimfumu	Huvudstad
Monzón	Monzón
Kimputulukesi	Portugisiska
Ngonda (manaka)	Månad
Almazán	Almazán
Mukânda ya ngudi	Portal:Huvudsida
Saratov	Saratov
Troyes	Troyes
Kalasi:Candidates for speedy deletion	Kategori:Snabbraderingar
Montpellier	Montpellier
Carcassonne	Carcassonne
Poitiers	Poitiers
Agen	Agen
Kimvuka ya Afelika	Afrikanska unionen
Dimokalasi	Demokrati
Bayuda	Judar
Nyama ya mabele	Däggdjur
Kiswahili	Swahili
Kitsunkwo	Kinesiska
Kalasi:Falanse	Kategori:Frankrike
Kalasi:Musique	Kategori:Musik
Bumpika	Slaveri
Shanghai (kizunga)	Shanghai
Málaga	Málaga
Lukwikilu	Religion
Kibang'la	Bengali
Ronald Reagan	Ronald Reagan
Kizulu	Zulu (språk)
Sasa	Zazaiska
Kutanga	Aritmetik
Dikâlu (velo)	Cykel
Chongqing (kizunga)	Chongqing
Tianjin (kizunga)	Tianjin
Yinsi	Lista över självständiga stater
Mukaba ya ntangu	Tidszon
Sida	Aids
Gard	Gard
Gers (kizunga)	Gers
Gironde (kizunga)	Gironde (departement)
Haute-Garonne	Haute-Garonne
Hauts-de-Seine	Hauts-de-Seine
Hérault (kizunga)	Hérault
Ille-et-Vilaine	Ille-et-Vilaine
Indre (kizunga)	Indre (departement)
Indre-et-Loire	Indre-et-Loire
Isère (kizunga)	Isère
Landes (kizunga)	Landes
Loir-et-Cher	Loir-et-Cher
Loire (kizunga)	Loire (departement)
Haute-Loire	Haute-Loire
Loiret (kizunga)	Loiret
Lot (kizunga)	Lot (departement)
Lot-et-Garonne	Lot-et-Garonne
Lozère (kizunga)	Lozère
Maine-et-Loire	Maine-et-Loire
Manche (kizunga)	Manche
Marne (kizunga)	Marne (departement)
Haute-Marne	Haute-Marne
Mayenne (kizunga)	Mayenne
Meurthe-et-Moselle	Meurthe-et-Moselle
Meuse (kizunga)	Meuse
Morbihan	Morbihan
Moselle (kizunga)	Moselle
Nièvre (kizunga)	Nièvre
Nord (kizunga)	Nord
Oise (kizunga)	Oise
Orne (kizunga)	Orne
Pas-de-Calais	Pas-de-Calais
Puy-de-Dôme	Puy-de-Dôme
Hautes-Pyrénées	Hautes-Pyrénées
Pyrénées-Atlantiques	Pyrénées-Atlantiques
Pyrénées-Orientales	Pyrénées-Orientales
Bas-Rhin	Bas-Rhin
Haut-Rhin	Haut-Rhin
Haute-Saône	Haute-Saône
Saône-et-Loire	Saône-et-Loire
Sarthe (kizunga)	Sarthe
Savoie (kizunga)	Savoie
Haute-Savoie	Haute-Savoie
Seine-et-Marne	Seine-et-Marne
Seine-Maritime	Seine-Maritime
Seine-Saint-Denis	Seine-Saint-Denis
Deux-Sèvres	Deux-Sèvres
Somme (kizunga)	Somme (departement)
Tarn (kizunga)	Tarn
Tarn-et-Garonne	Tarn-et-Garonne
Territoire de Belfort	Territoire de Belfort
Val-d'Oise	Val-d'Oise
Val-de-Marne	Val-de-Marne
Var (kizunga)	Var (departement)
Vaucluse (kizunga)	Vaucluse
Vendée (kizunga)	Vendée
Vienne (kizunga)	Vienne (departement)
Haute-Vienne	Haute-Vienne
Yonne (kizunga)	Yonne
Yvelines	Yvelines
Nerja	Nerja
Ronda	Ronda
Kixhosa	Xhosa
Kilabu	Arabiska
Kapoti	Kondom
Kiunsita	Occitanska
Guangdong	Guangdong
Guangxi Zhuang	Guangxi
Template:Link FA	Mall:Link FA
Los Ángeles (Chile)	Los Ángeles
Jiangsu	Jiangsu
Zhejiang	Zhejiang
Guadeloupe	Guadeloupe
Madinina	Martinique
Mayota	Mayotte
La Réunion	Réunion
Xizang	Autonoma regionen Tibet
Heilongjiang	Heilongjiang
San Pedro de la Paz	San Pedro de la Paz
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Motorhead	Motörhead
Mbuluku	Åsna
Sichuan	Sichuan
Juan Carlos I	Juan Carlos I av Spanien
Vung Tau	Vung Tau
API	Internationella fonetiska alfabetet
Hebei	Hebei
Kibaha	Bahá'í
Irlande	Irland (ö)
Mposo	Vecka
Lordi	Lordi
Marseille	Marseille
Moshchena	Mosjtjena
Paltoga	Paltoga
Entrena	Entrena
Podgorica	Podgorica
Ntu	Huvud
Muyimbu ya nsi	Nationalsång
Nzila ya busula	Väderstreck
Rammstein	Rammstein
Ca Mau	Ca Mau
Da Lat	Da Lat
Da Nang	Da Nang
Racibórz	Racibórz
Phan Thiet	Phan Thiet
Université Niccolò Cusano	Università degli Studi Niccolò Cusano
Afelika ya Node	Nordafrika
