អាហ្វ្រិក	Afrika
ជប៉ុន	Japan
អង់គ្លេស	England
ស្កុតឡែន	Skottland
វ៉ែល	Wales
អៀរឡង់ខាងជើង	Nordirland
សាធារណរដ្ឋអៀរឡង់	Irland
ប្រទេសហុងគ្រី	Ungern
អេស្ប៉ាញ	Spanien
សហរដ្ឋអាមេរិក	USA
ផែនដី	Jorden
ប៊ឺណឺស លី	Tim Berners-Lee
ស៊ុយអែត	Sverige
ប្រទេសប៉ូឡូញ	Polen
អ៊ីតាលី	Italien
ព័រទុយហ្គាល់	Portugal
អឺរ៉ុប	Europa
អាស៊ី	Asien
វិគីភីឌា	Wikipedia
ភីអេចភី	PHP
ទីក្រុងញូវយ៉ក	New York
កុំព្យូទ័រ	Dator
អ៊ីនធើណេត	Internet
បារ៉ាក់ អូបាម៉ា	Barack Obama
ប៉ារីស	Paris
អាប្រាហាម លីនខូន	Abraham Lincoln
ប្រព័ន្ធប្រតិបត្តការ Android	Android (operativsystem)
Google ស្វែងរក	Google
ម៉ិកស៊ិក	Mexiko
មហាសមុទ្រអាត្លង់ទិក	Atlanten
មហាសមុទ្រប៉ាស៊ីហ្វិក	Stilla havet
ថ្ងៃច័ន្ទ	Måndag
ខែមករា	Januari
ខែកុម្ភៈ	Februari
ខែមីនា	Mars (månad)
ភពអង្គារ	Mars (planet)
ខែមេសា	April
ខែឧសភា	Maj
ខែមិថុនា	Juni
ខែកក្កដា	Juli
ខែសីហា	Augusti
ខែកញ្ញា	September
ខែតុលា	Oktober
ខែវិច្ឆិកា	November
ខែធ្នូ	December
អង្គារ	Tisdag
ថ្ងៃពុធ	Onsdag
ថ្ងៃព្រហស្បតិ៍	Torsdag
ថ្ងៃសុក្រ	Fredag
ថ្ងៃសៅរ៍	Lördag
ថ្ងៃអាទិត្យ	Söndag
សេះ (​អុក​)	Springare
បារាំង	Frankrike
សត្វឆ្កែ	Hund
រាជាណាចក្ររួម	Storbritannien
ឆ្មា	Katt
ភាសាបារាំង	Franska
ប្រេស៊ីល	Brasilien
រុស្ស៊ី	Ryssland
ការ៉េ	Kvadrat
សមុទ្រ	Hav
អាល្លឺម៉ង់	Tyskland
ភាសាអាល្លឺម៉ង់	Tyska
ប្រទេសអាយឡែន	Island
ភពសៅរ៍	Saturnus
១ (លេខ)	1 (tal)
២ (លេខ)	2 (tal)
៣ (លេខ)	3 (tal)
៥	5 (tal)
ចតុកោណកែង	Rektangel
មុំកែង	Rät vinkel
អ៊ុយក្រែន	Ukraina
ទីក្រុងរ៉ូម	Rom
អាល់បានី	Albanien
អាស៊ែបៃហ្សង់	Azerbajdzjan
អង់ដូរ៉ា	Andorra
សាធារណរដ្ឋកាហ្សាក់ស្ថាន	Kazakstan
បុរីវ៉ាទីកង់	Vatikanstaten
គុយបា	Kuba
ឥណ្ឌូនេស៊ី	Indonesien
អាហ្វ្រិកខាងត្បូង	Sydafrika
ប្រវត្តិសង្ខេប ក្រុមតន្រ្តី រ៉ុក linkin park	Linkin Park
ប្រទេសអាល់ហ្សេរី	Algeriet
ស្រា	Vin
ទឹក	Vatten
ទូរទស្សន៏	Television
ភាសាអាយឡែន	Isländska
ឈីលី	Chile
ព្រះយេស៊ូវ គ្រីស្ទ	Jesus
ភពពុធ	Merkurius
ប្រវត្តិសាស្ត្រ	Historia
ភពសុក្រ	Venus
ភាសា	Språk
ភពព្រហស្បតិ៍	Jupiter
ភពអ៊ុយរ៉ានុស	Uranus
វិគីភីឌាភាសាអង់គ្លេស	Engelskspråkiga Wikipedia
ភពណិបទូន	Neptunus
សិង្ហបុរី	Singapore
ភ្លុយតុង	Pluto
ហ្វេសប៊ុក	Facebook
សង្គ្រាមលោកលើកទីមួយ	Första världskriget
សង្គ្រាមលោកលើកទី២	Andra världskriget
ទំព័រគំរូ:Corruption	Korruption
Ubuntu	Ubuntu
លីនុច	Linux
គណិតវិទ្យា	Matematik
បារ៉ែន	Bahrain
ព្រះចន្ទ	Månen
អូស្ត្រាលី	Australien
រូបវិទ្យា	Fysik
ជីវវិទ្យា	Biologi
កូរ៉េខាងជើង	Nordkorea
ព្រះរាជាណាចក្រកម្ពុជា	Kambodja
ឌីណូស័រ	Dinosaurier
សាសនាឥស្លាម	Islam
សេរីភាព	Fred
សហភាពអឺរ៉ុប	Europeiska unionen
ចេក	Banan
ណាប៉ូលេអុងបូណាប៉ារត៍	Napoleon I
ព្រះអាទិត្យ	Solen
ឆ្នាំពន្លឺ	Ljusår
អូសេអានី	Oceanien
ប្រព័ន្ធព្រះអាទិត្យ	Solsystemet
អុីដ្រូសែន	Väte
ទីម័រខាងកើត	Östtimor
ម៉ុង ប្លុង	Mont Blanc
សឺរេស	Ceres (dvärgplanet)
អៀរីស	Eris (dvärgplanet)
ភព	Planet
តន្ត្រី	Musik
ភាសាអ៊ីតាលី	Italienska
អាលុយមីញ៉ូម	Aluminium
នូវែលសេឡង់	Nya Zeeland
ឥណ្ឌា	Indien
អង់ដ្រេ ម៉ារី អំពែរ	André-Marie Ampère
វីលីម ហ្សេកស្ពែរ	William Shakespeare
ប៉ាឡាវ	Palau
ម៉ុងហ្គោលី	Mongoliet
ជេនហ្គិស ខាន់	Djingis khan
កូឡុំប៊ី	Colombia
ព្រះពុទ្ធសាសនា	Buddhism
ហ្គាតេម៉ាឡា	Guatemala
មហាសមុទ្រអាកទិក	Norra ishavet
អ៊ីរ៉ង់	Iran
ភាសាប៉ូឡូញ	Polska
ហ្សកដង់	Jordanien
កៀហ៊្សីស៊ីស្ថាន	Kirgizistan
គុយវ៉ែត	Kuwait
ឡាវ	Laos
លីបង់	Libanon
ទ្វីបអាមេរិក	Amerika
ម៉ាឡេស៊ី	Malaysia
មីយ៉ាន់ម៉ា	Burma
នេប៉ាល់	Nepal
ប៉ាគីស្ថាន	Pakistan
MySQL	MySQL
អារ៉ាប៊ីសាអូឌីត	Saudiarabien
ស្រីលង្កា	Sri Lanka
ផ្លាតូ	Platon
តាជីគីស្ថាន	Tadzjikistan
YouTube	Youtube
អារីស្តូត	Aristoteles
ថៃ	Thailand
វិទ្យុ	Radio
តួរមិនីស្ថាន	Turkmenistan
វៀតណាម	Vietnam
កូរ៉េខាងត្បូង	Sydkorea
