Noowe	Norge
Amereka	USA
Finilandi	Finland
Swiiden	Sverige
Denimaaka	Danmark
Bupoolo	Polen
Lithueenia	Litauen
Yitale	Italien
Buyonaani	Grekland
Buturuki	Turkiet
Bulaaya	Europa
Wikipedia	Wikipedia
Berlin	Berlin
Paris	Paris
Gatonnya	Januari
Kenya	Kenya
Mbwa	Hund
Rwasha	Ryssland
Girimane	Tyskland
Isilandi	Island
Emu	1 (tal)
Bbiri	2 (tal)
Ssatu	3 (tal)
Nnya	4 (tal)
Ttaano	5 (tal)
Zeero	0 (tal)
Vilnius	Vilnius
Chile	Chile
Jesu Kristo	Jesus
Mathematics	Matematik
Napooleon Bonapat	Napoleon I
Moosko	Moskva
Ebimera	Växt
Nepal	Nepal
Tanzania	Tanzania
Yuganda	Uganda
Uetersen	Uetersen
Helsinki	Helsingfors
Baibuli	Bibeln
Ho Chi Minh City	Ho Chi Minh-staden
Kkanisa ya Yeso Eyannamaddala	The True Jesus Church
Dong Hoi	Dong Hoi
Concepción	Concepción, Chile
Kurów	Kurów
Santiago, Chile	Santiago de Chile
Kampala	Kampala
Osasco	Osasco
Curitiba	Curitiba
Category:Okubala	Kategori:Matematik
Olupapula Olusooka	Portal:Huvudsida
Saratov	Saratov
Category:Candidates for speedy deletion	Kategori:Snabbraderingar
Kilimanjaro	Kilimanjaro
Ekiwandiiko Eky'abantu Bonna Ekifa ku Ddembe Ly'obunto	FN:s deklaration om de mänskliga rättigheterna
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Ennamba	Tal
Template:Link FA	Mall:Link FA
Wikipedia:Community Portal	Wikipedia:Bybrunnen
Mwenda	9 (tal)
Bien Hoa	Bien Hoa
Nha Trang	Nha Trang
Breinigerberg	Breinigerberg
Vung Tau	Vung Tau
Musanvu	7 (tal)
Munaana	8 (tal)
Mukaaga	6 (tal)
Moshchena	Mosjtjena
Paltoga	Paltoga
Entrena	Entrena
Las Vegas	Las Vegas
Kkumi	10 (tal)
Nowy Dwór Królewski	Nowy Dwór Królewski
Ca Mau	Ca Mau
Pichilemu	Pichilemu
Phan Thiet	Phan Thiet
Reverse transcriptase	Omvänt transkriptas
Luganda	Luganda
Buon Ma Thuot	Buon Ma Thuot
Anastacia	Anastacia
Thanh Hoa	Thanh Hoa
Ben Tre	Ben Tre
