Āfrika	Afrika
Japāna	Japan
Dienvidamerika	Sydamerika
Norvēģija	Norge
Anglija	England
Skotija	Skottland
Velsa	Wales
Ziemeļīrija	Nordirland
Īrija	Irland
Ungārija	Ungern
Spānija	Spanien
Amerikas Savienotās Valstis	USA
Beļģija	Belgien
Luksemburga	Luxemburg
Visums	Universum
Zeme	Jorden
Dzīvība	Liv
Nāve	Döden
Cilvēks	Människa
Laime	Lycka
Džordžs Vašingtons	George Washington
Duglass Adamss	Douglas Adams
Tims Bērnerss-Lī	Tim Berners-Lee
Imagine (dziesma)	Imagine (sång)
Stenlijs Kubriks	Stanley Kubrick
Vikidati	Wikidata
Somija	Finland
Zviedrija	Sverige
Dānija	Danmark
Polija	Polen
Lietuva	Litauen
Itālija	Italien
Šveice	Schweiz
Austrija	Österrike
Grieķija	Grekland
Turcija	Turkiet
Alus	Öl
Portugāle	Portugal
Eiropa	Europa
Āzija	Asien
Ziemeļamerika	Nordamerika
Antarktīda	Antarktis
Vikipēdija	Wikipedia
All your base are belong to us	All your base are belong to us
Nīderlande	Nederländerna
Dzimumloceklis	Penis
PHP	PHP
Ņujorka	New York
Vašingtona	Washington, D.C.
Sanfrancisko	San Francisco
Berlīne	Berlin
Losandželosa	Los Angeles
Boeing	Boeing
Airbus	Airbus
Dators	Dator
Berne	Bern
Ženēva	Genève
Cīrihe	Zürich
IRC	Internet Relay Chat
Internets	Internet
Baraks Obama	Barack Obama
Urugvaja	Uruguay
Bāzele	Basel
Printeris	Skrivare
MediaWiki	Mediawiki
Londona	London
Kaira	Kairo
Galvassāpes	Huvudvärk
Aleksandrija	Alexandria
Aleksandrija (Virdžīnija)	Alexandria, Virginia
Ābols	Äpple
Parīze	Paris
Abrahams Linkolns	Abraham Lincoln
Android	Android (operativsystem)
Google	Google
Meksika	Mexiko
Atlantijas okeāns	Atlanten
Klusais okeāns	Stilla havet
Kalifornija	Kalifornien
Bostona	Boston
Pirmdiena	Måndag
Telpa	Rum (fysik)
Janvāris	Januari
Februāris	Februari
Marts	Mars (månad)
Marss (planēta)	Mars (planet)
Marss (mitoloģija)	Mars (mytologi)
Kenija	Kenya
Etiopija	Etiopien
Monarhs	Monark
Gana	Ghana
Aprīlis	April
Maijs	Maj
Jūnijs	Juni
Jūlijs	Juli
Augusts	Augusti
Septembris	September
Oktobris	Oktober
Novembris	November
Decembris	December
Otrdiena	Tisdag
Trešdiena	Onsdag
Ceturtdiena	Torsdag
Piektdiena	Fredag
Sestdiena	Lördag
Svētdiena	Söndag
Laidnis	Löpare (schack)
Bandinieks (šahs)	Bonde (schack)
Zirdziņš (šahs)	Springare
Tornis (šahs)	Torn (schack)
Karalis (šahs)	Kung (schack)
Dāma (šahs)	Dam (schack)
Lauva	Lejon
Francija	Frankrike
Esperanto	Esperanto
Suns	Hund
Apvienotā Karaliste	Storbritannien
Kaķis	Katt
Ķīna	Kina
Franču valoda	Franska
Vikivārdnīca	Wiktionary
Zivis	Fiskar
Etanols	Etanol
Alkoholiskie dzērieni	Alkoholdryck
Brazīlija	Brasilien
Spirti	Alkoholer
Fransuā Olands	François Hollande
Krievija	Ryssland
Vaļveidīgie	Valar
Optiskā šķiedra	Fiberoptik
Jorkšīra	Yorkshire
Kvadrāts	Kvadrat
Jūra	Hav
Melnā jūra	Svarta havet
Pī	Pi
Pī (burts)	Pi (bokstav)
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sanpaulu	São Paulo
Sanpaulu (štats)	São Paulo (delstat)
Kvebeka	Québec
Pica	Pizza
Pasta (ēdiens)	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Džimijs Veilss	Jimmy Wales
Vācija	Tyskland
Baltkrievija	Vitryssland
Lerijs Sendžers	Larry Sanger
Itālijas himna	Il Canto degli Italiani
Vācu valoda	Tyska
Islande	Island
Dievs	Gud
Igaunija	Estland
Deivids Kemerons	David Cameron
Saturns (planēta)	Saturnus
Saturna gredzeni	Saturnus ringar
Šokolāde	Choklad
Lidmašīna	Flygplan
Karš	Krig
1 (skaitlis)	1 (tal)
2 (skaitlis)	2 (tal)
3 (skaitlis)	3 (tal)
4 (skaitlis)	4 (tal)
5 (skaitlis)	5 (tal)
Nulle	0 (tal)
Bezgalība	Oändlighet
Stīvens Hārpers	Stephen Harper
Džordžs V. Bušs	George W. Bush
Taisnstūris	Rektangel
Latvija	Lettland
Ukraina	Ukraina
Čehija	Tjeckien
Slovākija	Slovakien
Slovēnija	Slovenien
Viļņa	Vilnius
Moldova	Moldavien
Rumānija	Rumänien
Bulgārija	Bulgarien
Roma	Rom
Maķedonija	Makedonien
Albānija	Albanien
Grenlande	Grönland
Horvātija	Kroatien
Bosnija un Hercegovina	Bosnien och Hercegovina
Nūka	Nuuk
Azerbaidžāna	Azerbajdzjan
Andora	Andorra
Kipra	Cypern
Gruzija	Georgien
Valonija	Vallonien
Kazahstāna	Kazakstan
Malta	Malta
Flandrija	Flandern
Monako	Monaco
Melnkalne	Montenegro
Vatikāns	Vatikanstaten
Sanmarīno	San Marino
Brisele	Bryssel (kommun)
Briseles galvaspilsētas reģions	Bryssel (region)
Kuba	Kuba
Beliza	Belize
Eifeļa tornis	Eiffeltornet
Barbadosa	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Bezvadu sakari	Trådlöst nätverk
Datora klaviatūra	Tangentbord
Java (programmēšanas valoda)	Java (programspråk)
Indonēzija	Indonesien
Volfgangs Amadejs Mocarts	Wolfgang Amadeus Mozart
Ludvigs van Bēthovens	Ludwig van Beethoven
Turku valoda	Turkiska
Mandelbrota kopa	Mandelbrotmängden
Dienvidāfrika	Sydafrika
Žans Fransuā Šampolions	Jean-François Champollion
Linkin Park	Linkin Park
Alžīrija	Algeriet
Wikisource	Wikisource
Viesuļvētra Sendija	Orkanen Sandy
Uzbekistāna	Uzbekistan
Rasenes	Sileshårssläktet
Poznaņa	Poznań
Taškenta	Tasjkent
Varšava	Warszawa
Eirovīzijas dziesmu konkurss	Eurovision Song Contest
Modēna	Modena
Viskijs	Whisky
Vīns	Vin
Ūdens	Vatten
Āda (materiāls)	Läder
Koksne	Trä
Tūra	Tours
Televīzija	Television
Dzimums	Kön
Pornogrāfija	Pornografi
Islandiešu valoda	Isländska
Klods Monē	Claude Monet
Djego Velaskess	Diego Velázquez
Čīle	Chile
El Greko	El Greco
Jēzus Kristus	Jesus
Elviss Preslijs	Elvis Presley
Sebastjans Piņera	Sebastián Piñera
Galileo Galilejs	Galileo Galilei
Merkurs (planēta)	Merkurius
Vēsture	Historia
Perlašēza kapsēta	Père-Lachaise
Apple Inc.	Apple Inc.
Venera (planēta)	Venus
Valoda	Språk
Mīlestība	Kärlek
Diktatūra	Diktatur
Galaktika	Galax
Jupiters (planēta)	Jupiter
Mišela Bačeleta	Michelle Bachelet
Piena Ceļš	Vintergatan
Lanvairpulguingila	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Lielais sprādziens	Big Bang
Urāns (planēta)	Uranus
Bretaņa (vēsturisks reģions)	Bretagne
Vikipēdija angļu valodā	Engelskspråkiga Wikipedia
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Neptunus
Astronomija	Astronomi
Singapūra	Singapore
Zinātne	Vetenskap
Kosmoloģija	Kosmologi
Plutons (pundurplanēta)	Pluto
Monreāla	Montréal
Brīvā programmatūra	Fri programvara
Kempēra	Quimper
Jaunava Marija	Jungfru Maria
Luijs IX	Ludvig IX av Frankrike
Lihtenšteina	Liechtenstein
Sports	Sport
Kembridža	Cambridge
Jeloustonas nacionālais parks	Yellowstone nationalpark
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Google+	Google Plus
WikiLeaks	Wikileaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	Första världskriget
Otrais pasaules karš	Andra världskriget
Ķelne	Köln
Korupcija	Korruption
Wikibooks	Wikibooks
Augusto Pinočets	Augusto Pinochet
Wikiquote	Wikiquote
Wikiversity	Wikiversity
Wikivoyage	Wikivoyage
Degvīns	Vodka
Pulkstenis	Ur
Janka Kupala	Janka Kupala
Ubuntu Linux	Ubuntu
Skopje	Skopje
Gdiņa	Gdynia
GNU/Linux	Linux
Bobs Dilans	Bob Dylan
Ščecina	Szczecin
Metroloģija	Mätteknik
Matemātika	Matematik
U2	U2
Latīņu valoda	Latin
Bahreina	Bahrain
Armēnija	Armenien
Dženna Džeimsone	Jenna Jameson
Ķīļraksts	Kilskrift
Higsa bozons	Higgsboson
Serbija	Serbien
Mēness	Månen
Stambula	Istanbul
Austrālija	Australien
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Astrobiologi
Fizika	Fysik
Argentīna	Argentina
Telesakari	Telekommunikation
Peru	Peru
Bioloģija	Biologi
Neidentificēts lidojošs objekts	Ufo
Ziemeļkoreja	Nordkorea
Kambodža	Kambodja
Dzīvnieku tiesības	Djurrätt
Koipera josla	Kuiperbältet
Korāns	Koranen
Dinozauri	Dinosaurier
Zooloģija	Zoologi
Islāms	Islam
Bumbieres	Päronsläktet
Aleksandrijas bibliotēka	Biblioteket i Alexandria
Ļubļana	Ljubljana
Salvadors Aljende	Salvador Allende
