Africa	Afrika
Xapon	Japan
Ixachitlān Huitztlāmpa	Sydamerika
Noruega	Norge
Inglatlālpan	England
Wales	Wales
Irtlālpan	Irland
Hungria	Ungern
Caxtillān	Spanien
Tlacetilīlli Tlahtohcāyōtl Ixachitlān	USA
Belgica	Belgien
Luxemburgo	Luxemburg
Cemānāhuac	Universum
Tlālticpactli	Jorden
Miquiztli	Döden
Tlācatl	Människa
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Fintlālpan	Finland
Suecia	Sverige
Dinamarca	Danmark
Polonia	Polen
Lituania	Litauen
Italia	Italien
Suiza	Schweiz
Austria	Österrike
Grecia	Grekland
Turquia	Turkiet
Portugal	Portugal
Europan	Europa
Asia	Asien
Ixachitlān Mictlāmpa	Nordamerika
Antartida	Antarktis
Huiquipedia	Wikipedia
Tlanitlālpan	Nederländerna
Tepōlli	Penis
Āltepētl Yancuīc York	New York
Washington, D.C.	Washington, D.C.
San Francisco, California	San Francisco
Berlin	Berlin
Los Ángeles	Los Angeles
Chīuhpōhualhuaztli	Dator
Berna	Bern
Zurich	Zürich
Mātlatzālantli	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	London
In Cairo	Kairo
Alexandria	Alexandria
Manzana	Äpple
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mēxihco	Mexiko
Ilhuicaātl Atlántico	Atlanten
Tēpāpāquiltiliztli Ilhuicaātl	Stilla havet
California	Kalifornien
Mētztlitōnal	Måndag
Ic cē mētztli	Januari
Ic ōme mētztli	Februari
Ic ēyi mētztli	Mars (månad)
Chīchīlcītlalli	Mars (planet)
Quenia	Kenya
Etiopia	Etiopien
Ghana	Ghana
Ic nāuhtetl mētztli	April
Ic mācuīlli mētztli	Maj
Ic chicuacen mētztli	Juni
Ic chicōme mētztli	Juli
Ic chicuēyi mētztli	Augusti
Ic chiucnāhui mētztli	September
Ic mahtlāctetl mētztli	Oktober
Ic mahtlāctetl oncē mētztli	November
Ic mahtlāctetl omōme mētztli	December
Huītzilōpōchtōnal	Tisdag
Yacatlipotōnal	Onsdag
Tezcatlipotōnal	Torsdag
Quetzalcōātōnal	Fredag
Tlāloctitōnal	Lördag
Tōnatiuhtōnal	Söndag
Cuāmiztli	Lejon
Francia	Frankrike
Esperantotlahtōlli	Esperanto
Itzcuintli	Hund
Tlacetilīlli Huēyitlahtohcāyōtl	Storbritannien
Miztōn	Katt
China	Kina
Franciatlahtōlli	Franska
Michin	Fiskar
Octli	Alkoholdryck
Brasil	Brasilien
Rusia	Ryssland
Huēyātl	Hav
Π	Pi (bokstav)
Wiki	Wiki
Alabama	Alabama
São Paulo	São Paulo
São Paulo (tlahtohcāyōtl)	São Paulo (delstat)
Quebec	Québec
Jimmy Wales	Jimmy Wales
Alemania	Tyskland
Belarus	Vitryssland
Alemantlahtōlli	Tyska
Iztlālpan	Island
Estonia	Estland
Tzitzimicītlalli	Saturnus
Xocolātl	Choklad
Tepoztōtōtl	Flygplan
Cē (tlapōhualli)	1 (tal)
Ōme	2 (tal)
Ēyi	3 (tal)
Nāhui	4 (tal)
Mācuīlli	5 (tal)
George W. Bush	George W. Bush
Letonia	Lettland
Ucrania	Ukraina
Chequia	Tjeckien
Eslovaquia	Slovakien
Eslovenia	Slovenien
Vilnius	Vilnius
Moldova	Moldavien
Rumania	Rumänien
Bulgaria	Bulgarien
Roma	Rom
Tlācatlahtohcāyōtl Macedonia	Makedonien
Albania	Albanien
Groentlālpan	Grönland
Croacia	Kroatien
Bosnia īhuān Hertzegovina	Bosnien och Hercegovina
Nuuk	Nuuk
Azerbaiyan	Azerbajdzjan
Andorra	Andorra
Chipre	Cypern
Georgia	Georgien
Cazaquistan	Kazakstan
Malta	Malta
