अफ्रीका	Afrika
जापान	Japan
दक्षिण अमेरिका	Sydamerika
नर्वे	Norge
इङ्गल्याण्ड	England
स्कटल्यान्ड	Skottland
वेल्स	Wales
गणतन्त्र आयरल्यान्ड	Irland
हंगेरी	Ungern
स्पेन	Spanien
संयुक्त राज्य अमेरिका	USA
बेल्जियम	Belgien
लक्जेम्बर्ग	Luxemburg
ब्रह्माण्ड	Universum
पृथ्वी	Jorden
जीवन	Liv
मानिस	Människa
जर्ज वासिङ्टन	George Washington
फिनल्याण्ड	Finland
स्वीडेन	Sverige
डेनमार्क	Danmark
पोल्याण्ड	Polen
लिथुआनिया	Litauen
इटाली	Italien
स्विजरल्याण्ड	Schweiz
अष्ट्रीया	Österrike
ग्रीस	Grekland
टर्की	Turkiet
बियर	Öl
पोर्चुगल	Portugal
युरोप	Europa
एसिया	Asien
उत्तर अमेरिका	Nordamerika
अन्टार्क्टिका	Antarktis
विकिपीडिया	Wikipedia
नेदरल्यान्ड्स	Nederländerna
लिङ्ग	Penis
पिएचपी	PHP
न्यू योर्क शहर	New York
वासिङ्टन, डी.सी.	Washington, D.C.
बर्लिन	Berlin
लस एन्जलस	Los Angeles
कम्प्युटर	Dator
बर्न	Bern
इन्टरनेट	Internet
बाराक ओबामा	Barack Obama
उरुग्वे	Uruguay
लण्डन	London
स्याउ	Äpple
पेरिस	Paris
अब्राहम लिङ्कन	Abraham Lincoln
एन्ड्रोइड	Android (operativsystem)
गुगल	Google
मेक्सिको	Mexiko
आन्ध्र महासागर	Atlanten
प्रशान्त महासागर	Stilla havet
क्यालिफोर्निया	Kalifornien
सोमवार	Måndag
जनवरी	Januari
फेब्रुअरी	Februari
मार्च	Mars (månad)
मंगलग्रह	Mars (planet)
केन्या	Kenya
इथियोपिया	Etiopien
घाना	Ghana
अप्रिल	April
मे	Maj
जुन	Juni
जुलाई	Juli
अगस्ट	Augusti
सेप्टेम्बर	September
अक्टोबर	Oktober
नोभेम्बर	November
डिसेम्बर	December
मंगलबार	Tisdag
बुधवार	Onsdag
बिहीवार	Torsdag
शुक्रवार	Fredag
शनिवार	Lördag
आइतबार	Söndag
सिंह	Lejon
फ्रान्स	Frankrike
एस्पेरान्तो	Esperanto
कुकुर	Hund
संयुक्त अधिराज्य	Storbritannien
बिरालो	Katt
जनबादी गणतन्त्र चीन	Kina
फ्रान्सेली भाषा	Franska
माछा	Fiskar
मादक पदार्थ	Alkoholdryck
ब्राजिल	Brasilien
रुस	Ryssland
ह्वेल	Valar
अप्टिकल फाइबर	Fiberoptik
वर्ग (आकार)	Kvadrat
विकि	Wiki
टोरन्टो	Toronto
अलाबामा	Alabama
साओ पाउलो	São Paulo
विकिमिडिया फाउन्डेसन	Wikimedia Foundation
जिम्मी वेल्स	Jimmy Wales
जर्मनी	Tyskland
बेलारुस	Vitryssland
आइसल्याण्ड	Island
ईश्वर	Gud
इस्टोनिया	Estland
डेविड क्यामरुन	David Cameron
शनिग्रह	Saturnus
हवाईजहाज	Flygplan
स्टेफेन हार्पर	Stephen Harper
जर्ज डब्लु बुश	George W. Bush
आयत	Rektangel
लात्भिया	Lettland
युक्रेन	Ukraina
चेक गणतन्त्र	Tjeckien
स्लोभाकिया	Slovakien
स्लोभेनिया	Slovenien
मोल्डोभा	Moldavien
रोमानिया	Rumänien
बुल्गेरिया	Bulgarien
रोम	Rom
म्यासेडोनिया	Makedonien
अल्बानिया	Albanien
ग्रीनल्याण्ड	Grönland
क्रोएशिया	Kroatien
बोस्निया र हर्जगोभिना	Bosnien och Hercegovina
अजरबैजान	Azerbajdzjan
एण्डोरा	Andorra
साइप्रस	Cypern
जर्जिया (देश)	Georgien
कजाख्स्तान	Kazakstan
मोनाको	Monaco
मोन्टेनेग्रो	Montenegro
भ्याटिकन सिटी	Vatikanstaten
सान मारिनो	San Marino
ब्रसेल्स	Bryssel (region)
क्युबा	Kuba
बेलिज	Belize
आइफिल टावर	Eiffeltornet
बार्बाडोस	Barbados
किबोर्ड	Tangentbord
जावा	Java (programspråk)
इण्डोनेशिया	Indonesien
वोल्फगान्क आमडेयुस मोत्सार्ट	Wolfgang Amadeus Mozart
दक्षिण अफ्रिका	Sydafrika
लिंकिन पार्क	Linkin Park
अल्जेरिया	Algeriet
वाइन	Vin
पानी	Vatten
काठ	Trä
टेलिभिजन	Television
यौन	Kön
चिली	Chile
जिसस क्राइस्ट	Jesus
बुधग्रह	Merkurius
इतिहास	Historia
एप्पल कम्पनी	Apple Inc.
शुक्रग्रह	Venus
भाषा	Språk
माया	Kärlek
तारापुञ्ज	Galax
बृहस्पतिग्रह	Jupiter
आकाशगङ्गा	Vintergatan
युरेनस	Uranus
निकोला सार्कोजी	Nicolas Sarkozy
वरुणग्रह	Neptunus
खगोलशास्त्र	Astronomi
सिङ्गापुर	Singapore
विज्ञान	Vetenskap
भविष्य	Framtid
मेरी (यसुकी आमा)	Jungfru Maria
खेल	Sport
एडल्फ हिटलर	Adolf Hitler
फेसबुक	Facebook
गूगल+	Google Plus
विकिलिक्स	Wikileaks
जुलियन असान्ज	Julian Assange
प्रथम विश्वयुद्ध	Första världskriget
दोस्रो विश्वयुद्ध	Andra världskriget
भ्रष्टाचार	Korruption
उबुन्टु	Ubuntu
लिनक्स	Linux
गणित	Matematik
लेटिन	Latin
बहराइन	Bahrain
आर्मेनिया	Armenien
जेना जेम्सन	Jenna Jameson
हिग्स बोसोन	Higgsboson
सर्बिया	Serbien
चन्द्रमा	Månen
इस्तानबुल	Istanbul
लिन्डा लभलेस	Linda Lovelace
अष्ट्रेलिया	Australien
बब मार्ली	Bob Marley
अर्जेन्टिना	Argentina
पेरू	Peru
जीवशास्त्र	Biologi
उत्तर कोरिया	Nordkorea
कम्बोडिया	Kambodja
कुरान	Koranen
डायनोसर	Dinosaurier
इस्लाम धर्म	Islam
हरियो स्याउ	Päronsläktet
लेक वालेसा	Lech Wałęsa
मन	Psyke
शान्ति	Fred
युरोपेली संघ	Europeiska unionen
महिला	Kvinna
कविता	Poesi
कम्प्युटर भाइरस	Datorvirus
मित्रता	Vänskap
मल	Avföring
काखी	Armhåla
कागती	Citron
केरा	Banan
फूल	Blomma
सगरमाथा	Mount Everest
शहर	Stad
नेपोलियन बोनापार्ट	Napoleon I
शरीर क्रिया विज्ञान	Fysiologi
तारा	Stjärna
सूर्य	Solen
आकाश	Himmel
लोइस पास्चर	Louis Pasteur
प्रकाश वर्ष	Ljusår
गाउँ	By
ओशिनिया	Oceanien
सौर्यमण्डल	Solsystemet
दाँत	Tänder
हाइड्रोजन	Väte
हीलियम	Helium
विकिमिडिया कमन्स	Wikimedia Commons
एन्जेला मर्केल	Angela Merkel
लिथियम	Litium
बेरिलियम	Beryllium
लाउड स्पीकर	Högtalare
पुस्तक	Bok
दिन	Dygn
पूर्वी टिमोर	Östtimor
राती	Natt
वर्ष	År
शताब्दी	Sekel
मोन्ट ब्लाङ्क	Mont Blanc
ओस्लो	Oslo
क्याटोभिस	Katowice
ब्ल्याक होल	Svart hål
लियोनेल मेस्सी	Lionel Messi
बोरोन	Bor
कार्बन	Kol
नाइट्रोजन	Kväve
प्राणवायु	Syre
इन्टर मिलान	FC Internazionale Milano
ग्रह	Planet
क्लियोपेट्रा सातौं	Kleopatra VII av Egypten
संगीत	Musik
भेनिस	Venedig
थर्मामीटर	Termometer
फ्लोरिन	Fluor
नियोन	Neon
सेन्ट पिटर्सवर्ग	Sankt Petersburg
सोडियम	Natrium
उत्तर	Norr
म्याग्नेसियम	Magnesium
एलुमिनियम	Aluminium
न्यु जिल्यान्ड	Nya Zeeland
दक्षिण	Söder
भारत	Indien
सिलिकॉन	Kisel
फोस्फरस	Fosfor
आन्द्रे मैरी एम्पीयर	André-Marie Ampère
फलाम	Järn
पश्चिम	Väster
गन्धक	Svavel
पूर्व	Öster
सोलोमन द्वीप	Salomonöarna
भानुअटु	Vanuatu
क्लोरिन	Klor
विलियम शेक्सपियर	William Shakespeare
और्गन	Argon
मोजिला फायरफक्स	Mozilla Firefox
पोटाशियम	Kalium
क्याल्सियम	Kalcium
मङ्गोलिया	Mongoliet
फिजी	Fiji
स्काण्डियम	Skandium
टाइटानियम	Titan
भेनेजुएला	Venezuela
बुद्धिचाल	Schack
जंगेज खाँ	Djingis khan
वनेडियम	Vanadin
मेन	Maine
आम्स्टर्डम	Amsterdam
जनावर	Djur
पाराग्वे	Paraguay
गुयना	Guyana
इक्वेडर	Ecuador
कोलम्बिया	Colombia
बुद्ध धर्म	Buddhism
बोलिभिया	Bolivia
अस्मियम	Osmium
तामा	Koppar
ट्रिनिडाड र टोबागो	Trinidad och Tobago
वनस्पति	Växt
न्यू ह्याम्प्सर	New Hampshire
लियोनार्दो दा भिञ्ची	Leonardo da Vinci
ढुसी	Svampar
ग्रिनाडा	Grenada
म्यासेचुसेट्स	Massachusetts
ग्वाटेमाला	Guatemala
बहामस	Bahamas
कनेक्टिकट	Connecticut
कुखुरा	Tamhöna
एन्टिगुआ र बर्बुडा	Antigua och Barbuda
हवाई	Hawaii
होन्डुरस	Honduras
डोमिनिका	Dominica
जर्सी	Jersey
डोमिनिकन गणतन्त्र	Dominikanska republiken
आर्कटिक महासागर	Norra ishavet
हाइटी	Haiti
एल साल्भादोर	El Salvador
इरान	Iran
ईराक	Irak
अलास्का	Alaska
कोस्टारिका	Costa Rica
इजरायल	Israel
पानामा	Panama
गणतन्त्र यमन	Jemen
विषाणु	Virus
जोर्डन	Jordanien
निकाराग्वा	Nicaragua
फ्लोरिडा	Florida
किर्गिजस्तान	Kirgizistan
एरिजोना	Arizona
कुवेत	Kuwait
लाओस	Laos
ओरेगन	Oregon
मालदिभ्स	Maldiverna
युटा	Utah
गाई	Nötkreatur
मलेशिया	Malaysia
म्यानमार	Burma
नेपाल	Nepal
ओमान	Oman
पाकिस्तान	Pakistan
कतार	Qatar
साउदी अरब	Saudiarabien
श्रीलंका	Sri Lanka
स्टालिन	Josef Stalin
सीरिया	Syrien
प्लेटो	Platon
ताजिकिस्तान	Tadzjikistan
ताइवान	Taiwan
युट्युब	Youtube
जर्मेनियम	Germanium
अरस्तू	Aristoteles
थाइल्याण्ड	Thailand
रेडियो	Radio
तुर्कमेनिस्तान	Turkmenistan
इरिडियम	Iridium
संयुक्त अरब इमिरेट्स	Förenade Arabemiraten
भियतनाम	Vietnam
चार्ली च्याप्लिन	Charlie Chaplin
दक्षिण कोरिया	Sydkorea
द सिम्प्सन्स	Simpsons
अफगानिस्तान	Afghanistan
गङ्नम स्टाइल	Gangnam Style
सुन	Guld
स्वेज नहर	Suezkanalen
वैज्ञानिक	Vetenskapsman
बंगलादेश	Bangladesh
फ्रान्ज काफ्का	Franz Kafka
सुकरात	Sokrates
अंगोला	Angola
भूटान	Bhutan
ट्विटर	Twitter
ब्रुनेई	Brunei
तन्जानिया	Tanzania
फिलिपिन्स	Filippinerna
मध्य अफ्रिकी गणतन्त्र	Centralafrikanska republiken
दक्षिणी ध्रुव	Sydpolen
उत्तरी ध्रुव	Nordpolen
आइज्याक न्यूटन	Isaac Newton
अल्बर्ट आइन्स्टाइन	Albert Einstein
पहेंलो	Gul
प्रमात्रा यान्त्रिकी	Kvantmekanik
जिम्बाब्वे	Zimbabwe
बेइजिङ	Peking
बेनिन	Benin
बोत्स्वाना	Botswana
बुर्किना फासो	Burkina Faso
बुरूण्डी	Burundi
कोमोरोस	Komorerna
गणतन्त्र कङ्गो	Kongo-Brazzaville
प्रजातान्त्रिक गणतन्त्र कंगो	Kongo-Kinshasa
जिबुटी	Djibouti
इक्वेटोरियल गिनी	Ekvatorialguinea
