Africa	Afrika
Lithuania	Litauen
Italia	Italien
Asia	Asien
Meyi	Maj
Russia	Ryssland
Azerbaijan	Azerbajdzjan
San Marino (dziko)	San Marino
South Africa	Sydafrika
Algeria	Algeriet
Yesu Kristu	Jesus
Chilatini	Latin
Napoleon	Napoleon I
Zomera	Växt
Tanzania	Tanzania
Zambia	Zambia
Zimbabwe	Zimbabwe
Malaŵi	Malawi
Mozambique	Moçambique
Sudan	Sudan
Uetersen	Uetersen
Augustus	Augustus
Baibulo	Bibeln
True Jesus Church	The True Jesus Church
Chingerezi	Engelska
Dong Hoi	Dong Hoi
Category:Templates	Kategori:Mallar
Lilongwe	Lilongwe
Lusaka	Lusaka
Wikipedia:Sandbox	Wikipedia:Sandlådan
Zichyújfalu	Zichyújfalu
Mwezi	Månad
Tsamba Lalikulu	Portal:Huvudsida
Lake Malawi	Malawisjön
Category:Candidates for speedy deletion	Kategori:Snabbraderingar
Chitsamunda	Kolonialism
Boma	Regering
Category:Kuimba	Kategori:Musik
Alexander Macedon	Alexander den store
Chigiriki	Grekiska
Chiarabu	Arabiska
Template:Link FA	Mall:Link FA
Wikipedia:Community Portal	Wikipedia:Bybrunnen
Bien Hoa	Bien Hoa
Chinenero ya ndzika	Officiellt språk
Moshchena	Mosjtjena
Paltoga	Paltoga
Akhristadelfia	Kristadelfianer
Chilankhulo cha Chichewa	Chichewa
Wolembedwa ndi Yohane	Johannesevangeliet
Template:Commons Categories	Mall:Commonscat
Aroma	Romarbrevet
Matenda a Ebola	Ebolafeber
Category:Boma	Kategori:Myndigheter
Joyce Banda	Joyce Banda
Kwacha ya Zambia	Zambisk kwacha
KwaZulu-Natal	KwaZulu-Natal
Chinangwa	Maniok
Western Cape	Västra Kapprovinsen
Eastern Cape	Östra Kapprovinsen
Mpumalanga	Mpumalanga
Northern Cape	Norra Kapprovinsen
Gauteng	Gauteng
Limpopo	Limpopoprovinsen
Wikipedia:Chithandizo cha Kulemba pa Wikipedia	Wikipedia:Redigering
Free State	Fristatsprovinsen
Ndya	Zedrak
North West (South Africa)	Nordvästprovinsen, Sydafrika
Nimu	Neem
Akafula	Pygméer
Ezekieli	Hesekiels bok
Bingu wa Mutharika	Bingu wa Mutharika
Hastings Kamuzu Banda	Hastings Banda
Blantyre	Blantyre, Malawi
Banovci (Nijemci)	Banovci
Kwacha ya Malaŵi	Malawisk kwacha
Zomba, Malaŵi	Zomba
Anggun	Anggun
Cham'mwanba	Moringa oleifera
Tsekela	Hyparrhenia
Bakili Muluzi	Bakili Muluzi
Senjele	Pennisetum purpureum
Mwanza	Mwanza (olika betydelser)
Chankhalamu	Tagghirser
Stand and Sing of Zambia, Proud and Free	Stand and Sing of Zambia, Proud and Free
Mzuzu	Mzuzu
Nandalo	Cajanus cajan
Mfula	Marula
Chipata	Chipata
Balaka	Balaka
Katunga	Cynodon
Kwacha	Kwacha
Neno	Neno
Liwonde	Liwonde
Category:Russia	Kategori:Ryssland
Category:South Africa	Kategori:Sydafrika
Category:Zomera	Kategori:Växter
Dasymys incomtus	Dasymys incomtus
Pongamia pinnata	Pongamia pinnata
Category:Akhristu	Kategori:Kristendom
Mtsinje wa Shire	Shire (flod)
Bonongwe	Taggamarant
Category:Stubs	Kategori:Stubbar
Category:Categories	Kategori:Kategorier
Mnyungo	Acacia polyacantha
Mwimbi	Rauvolfia caffra
Category:Wikipedia bots	Kategori:Wikipedia:Robotar
Wikipedia:Administrators	Wikipedia:Administratörer
Wikipedia:Vital 100	Wikipedia:100 viktiga artiklar
Template:Bot	Mall:Bot
Template:Documentation	Mall:Dokumentation
Category:Wikipedians by language	Kategori:Användare efter språk
Template:Softredirect	Mall:Mjuk omdirigering
Template:Delete	Mall:Radera
Category:Chilankhulo	Kategori:Språk
Category:Wikipedia	Kategori:Wikipedia
Wikipedia:Statistics	Wikipedia:Statistik
Msikitzi	Trichilia emetica
Template:Transclude	Mall:Transclude
Template:Col-break	Mall:Col-break
Template:Col-begin	Mall:Col-begin
Template:Col-end	Mall:Col-end
Wikipedia:Vital articles	Wikipedia:Artiklar som bör finnas på Wikipedia
Category:Africa	Kategori:Afrika
Category:Baibulo	Kategori:Bibeln
Category:Miyezi	Kategori:Månader
