افريقا	Afrika
جاپان	Japan
سوېلي امريکا	Sydamerika
ناروې	Norge
د آيرلېنډ جمهوريت	Irland
هنگري	Ungern
اسپانیا	Spanien
د امریکا متحده ایالتونه	USA
بلجیم	Belgien
لوگزامبورگ	Luxemburg
ځمکه	Jorden
ژوند	Liv
انسان	Människa
فېنلانډ	Finland
سويډن	Sverige
ډېنمارک	Danmark
پولنډ	Polen
لېتوانيا	Litauen
اېټاليا	Italien
سويس	Schweiz
اتريش	Österrike
يونان	Grekland
تورکيه	Turkiet
بير	Öl
پرتگال	Portugal
اروپا	Europa
آسيا	Asien
شمالي امريکا	Nordamerika
انټارکټيکا	Antarktis
ويکيپېډيا	Wikipedia
هالنډ	Nederländerna
نيويارک (ښار)	New York
واشنگټن ډي سي	Washington, D.C.
برلين	Berlin
سولگر	Dator
څوریخ	Zürich
انټرنټ	Internet
باراک حسين اوباما	Barack Obama
لندن	London
قاهره	Kairo
مڼه	Äpple
پاريس	Paris
گووگل	Google
اتلانتيک سمندر	Atlanten
غلی سمندر	Stilla havet
کالېفورنیا	Kalifornien
دونۍ	Måndag
جنوري	Januari
فبروري	Februari
مارچ	Mars (månad)
مريخ	Mars (planet)
کېنيا	Kenya
اېتوپیا	Etiopien
گانا	Ghana
اپرېل	April
مې	Maj
جون	Juni
جولای	Juli
اگسټ	Augusti
سپټمبر	September
اکتوبر	Oktober
نومبر	November
ډيسمبر	December
درې نۍ	Tisdag
شورو	Onsdag
زيارت	Torsdag
جمعه	Fredag
خالي	Lördag
يونۍ	Söndag
زمری	Lejon
فرانسه	Frankrike
سپی	Hund
بريتانيا	Storbritannien
پيشو	Katt
چين د خلکو جمهوريت	Kina
فرانسوي ژبه	Franska
اېتنول	Etanol
برازیل	Brasilien
روسیه	Ryssland
نهنگ	Valar
څلوريځ (مېچپوهنه)	Kvadrat
بوینگ ۷۴۷	Boeing 747
ويکيمېډيا بنسټ	Wikimedia Foundation
آلمان	Tyskland
بېلاروس	Vitryssland
آلماني ژبه	Tyska
آيسلېنډ	Island
الله	Gud
اېسټونيا	Estland
زحل	Saturnus
الوتکه	Flygplan
جگړه	Krig
جورج واکر بوش	George W. Bush
اوکراین	Ukraina
چېک جمهوريت	Tjeckien
سلواکيا	Slovakien
سلووانیا	Slovenien
مولدوا	Moldavien
رومانیا	Rumänien
بلغاریا	Bulgarien
د مقدونيې ولسمشريزه	Makedonien
البانیا	Albanien
کروواسيا	Kroatien
آزربايجان	Azerbajdzjan
اندورا	Andorra
گرجستان	Georgien
قزاقستان	Kazakstan
مالټا	Malta
مانتېنېگرو	Montenegro
واټيکان ښار	Vatikanstaten
سان مارینو	San Marino
بروکسل	Bryssel (region)
بېلیز	Belize
باربادوس	Barbados
اندونيزيا	Indonesien
ولفگانگ امادیوس موزارت	Wolfgang Amadeus Mozart
لیودویگ وان بیتهووین	Ludwig van Beethoven
تورکي ژبه	Turkiska
سویلي افریقا	Sydafrika
الجزاير	Algeriet
اوزبکستان	Uzbekistan
تاشکند	Tasjkent
اوبه	Vatten
تلويزون	Television
چېلي	Chile
عيسی	Jesus
گاليليو گاليلی	Galileo Galilei
عطارد	Merkurius
پېښليک	Historia
ژبه	Språk
زورواکي	Diktatur
مشتري	Jupiter
میشل باشله	Michelle Bachelet
ستورپوهنه	Astronomi
سينگاپور	Singapore
پوهنه	Vetenskap
تکړښت	Sport
اډولف هټلر	Adolf Hitler
فېس بوک	Facebook
ويکيلېکس	Wikileaks
لومړنۍ نړېواله جگړه	Första världskriget
دويمه نړېواله جگړه	Andra världskriget
گړيال	Ur
شچېچېن	Szczecin
شمېرپوهنه	Matematik
لاتين ژبه	Latin
بحرین	Bahrain
ارمنستان	Armenien
مېخي ليکدود	Kilskrift
هیگزبوسون	Higgsboson
سربيا	Serbien
سپوږمۍ	Månen
استنبول	Istanbul
آسټراليا	Australien
پنځپوهنه	Fysik
ارجنټاین	Argentina
مخابرات	Telekommunikation
پيرو	Peru
ژونپوهنه	Biologi
شمالي کوريا	Nordkorea
کمبودیا	Kambodja
قرآن	Koranen
ډانگسر	Dinosaurier
ژوپوهنه	Zoologi
اسلام	Islam
ناک	Päronsläktet
بوټپوهنه	Botanik
لېخ والېسا	Lech Wałęsa
اروپايي اتحاديه	Europeiska unionen
WWW	World Wide Web
شعر	Poesi
کمپيوټري ويروس	Datorvirus
ليمو	Citron
گل	Blomma
ناپليون بوناپارت	Napoleon I
لمر	Solen
آسمان	Himmel
وېکټور هوگو	Victor Hugo
اقيانوسيه	Oceanien
لمريز غونډال	Solsystemet
هايډروجن	Väte
انگېلا مېرکل	Angela Merkel
لوړغږی	Högtalare
ورځ	Dygn
شپه	Natt
کال	År
پېړۍ	Sekel
اوسلو	Oslo
جنسي اړيکې	Sex (aktivitet)
دوبۍ	Dubai
آکسيجن	Syre
سياره	Planet
سندارا	Musik
مسکو	Moskva
چاډ	Tchad
الومېنيم	Aluminium
هند	Indien
اوسپنه	Järn
لوېديځ	Väster
گوگړ	Svavel
ساموا	Samoa
ختيځ	Öster
وېليم شېکسپيير	William Shakespeare
نكل	Fabel
مارشال ټاپووان	Marshallöarna
مغولستان	Mongoliet
سترنج	Schack
چنگېز خان	Djingis khan
آس	Häst
امسټرډام	Amsterdam
وسله	Vapen
ژوي	Djur
سورينام	Surinam
گويانا	Guyana
اېکوادور	Ecuador
ځمکني توتان	Smultronsläktet
بوديزم	Buddhism
بولېویا	Bolivia
تامبه	Koppar
بوټی	Växt
سېنټ لوسیا	Saint Lucia
ليونارډو ډاوېنچي	Leonardo da Vinci
چڼاس	Svampar
جمايکا	Jamaica
گرېنادا	Grenada
گواتمالا	Guatemala
هندوراس	Honduras
ډومنيکان جمهوريت	Dominikanska republiken
اهلي خوگ	Gris
شمالي قطبي سمندر	Norra ishavet
هایتي	Haiti
اېلسلوادور	El Salvador
ايران	Iran
عراق	Irak
کوسټاریکا	Costa Rica
اسرائيل	Israel
پاناما	Panama
يمن	Jemen
اردن	Jordanien
نیکاراگوا	Nicaragua
قرغزستان	Kirgizistan
کوېټ	Kuwait
لاووس	Laos
لېبنان	Libanon
مالديپ	Maldiverna
امريکا لويه وچه	Amerika
ميانمار	Burma
نيپال	Nepal
عمان	Oman
پاکستان	Pakistan
قطر	Qatar
سعودي عربستان	Saudiarabien
سریلانکا	Sri Lanka
جوزف سټالين	Josef Stalin
سوريه	Syrien
اپلاتون	Platon
تاجيکستان	Tadzjikistan
د چين جمهوريت	Taiwan
يوټيوب	Youtube
ارستو	Aristoteles
تايلنډ	Thailand
اورگاډی	Tåg
آرسېنيک	Arsenik
راډيو	Radio
تورکمنستان	Turkmenistan
عربي متحده امارات	Förenade Arabemiraten
چارلس چاپلين	Charlie Chaplin
سوېلي کوريا	Sydkorea
سمپسنز	Simpsons
افغانستان	Afghanistan
بنگله دېش	Bangladesh
فرانتس کافکا	Franz Kafka
مالي	Mali
سوقرات	Sokrates
آنگولا	Angola
بوتان	Bhutan
ټويټر	Twitter
برونای	Brunei
تانزانیه	Tanzania
پاره	Kvicksilver
فلېپين	Filippinerna
