आफ्रिकाखण्डः	Afrika
जपान्	Japan
दक्षिणामेरिका	Sydamerika
नार्वे	Norge
इङ्ग्लेण्डदेशः	England
ऐर्लेण्ड्देशः	Irland
हंगरी	Ungern
स्पेन्	Spanien
अमेरिकासंयुक्तराज्यम्	USA
बेल्जियम्	Belgien
लक्सम्बर्ग	Luxemburg
पृथ्वी	Jorden
मनुष्यः	Människa
जार्ज वाशिंगटन	George Washington
फिन्लैंड	Finland
स्वीडन	Sverige
डेनमार्क	Danmark
पोलॅण्ड्	Polen
लेतुवा	Litauen
इटली	Italien
स्विट्झर्ल्याण्ड्	Schweiz
आस्ट्रिया	Österrike
यवनदेशः	Grekland
तुर्की	Turkiet
पुर्तगाल	Portugal
यूरोपखण्डः	Europa
जम्बूद्वीपः	Asien
उत्तर-अमेरिकाखण्डः	Nordamerika
अण्टार्क्टिका	Antarktis
विकिपीडिया	Wikipedia
नेदर्लेण्ड्देशः	Nederländerna
शिश्	Penis
न्‍यू यॉर्क्	New York
वाशिङ्ग्टन् डि सि	Washington, D.C.
लास एंजलस	Los Angeles
सङ्गणकम्	Dator
जिनीवा	Genève
अन्तरजालम्	Internet
बराक् ओबामा	Barack Obama
उरुग्वाय	Uruguay
लन्डन्	London
शिरोवेदना	Huvudvärk
सेवफलम्	Äpple
अट्लाण्टिक्-महासागरः	Atlanten
प्रशान्तमहासागरः	Stilla havet
कालिफ़ोर्निया	Kalifornien
बास्टन्	Boston
सोमवासरः	Måndag
जनवरी	Januari
फरवरी	Februari
मार्च	Mars (månad)
मङ्गलः	Mars (planet)
केन्या	Kenya
ईथ्योपिया	Etiopien
घाना	Ghana
अप्रैल	April
मई	Maj
जून	Juni
जुलाई	Juli
अगस्त	Augusti
सितम्बर	September
अक्तूबर	Oktober
नवम्बर	November
दिसम्बर	December
मङ्गलवासरः	Tisdag
बुधवासरः	Onsdag
गुरुवासरः	Torsdag
शुक्रवासरः	Fredag
शनिवासरः	Lördag
रविवासरः	Söndag
फ्रान्सदेशः	Frankrike
एस्पेरान्तो	Esperanto
शुनकः	Hund
संयुक्त अधिराज्य	Storbritannien
मार्जालः	Katt
फ्रांसीसी भाषा	Franska
मत्स्याः	Fiskar
ब्रासील	Brasilien
रशिया	Ryssland
अलाबामा	Alabama
साओ पाओलो	São Paulo
विकिमीडिया	Wikimedia Foundation
जर्मनी	Tyskland
बेलारूस	Vitryssland
जर्मन् भाषा	Tyska
आइसलैंड	Island
एस्टोनिया	Estland
शनिः	Saturnus
युद्धम्	Krig
शून्यम् (सङ्ख्या)	0 (tal)
जार्ज डबल्यु बुश	George W. Bush
लाट्विया	Lettland
ज़ेक् रिपब्लिक	Tjeckien
स्लोवाकिया	Slovakien
स्लोवीनिया	Slovenien
मोल्दोवा	Moldavien
बुल्गारिया	Bulgarien
रोमा	Rom
मेसेडोनिया	Makedonien
अल्बेनिया	Albanien
क्रोएशिया	Kroatien
बास्निया	Bosnien och Hercegovina
अजर्बैजान	Azerbajdzjan
अण्डोरा	Andorra
जार्जिया (देशः)	Georgien
कजाकस्थान	Kazakstan
माल्टा	Malta
मोनाको	Monaco
वैटिकन	Vatikanstaten
सान मरीनो	San Marino
क्यूबा	Kuba
बेलीज	Belize
बार्बाडोस	Barbados
इण्डोनेशिया	Indonesien
वोल्फगांग आमाडेउस मोझार्ट	Wolfgang Amadeus Mozart
दक्षिण-आफ्रिका	Sydafrika
अल्जीरिया	Algeriet
उजबेकिस्थान	Uzbekistan
जलम्	Vatten
दूरदर्शनम्	Television
चिलि	Chile
बुधः	Merkurius
इतिहासः	Historia
एप्पल्	Apple Inc.
शुक्रः	Venus
भाषा	Språk
आकाशगङ्गा	Galax
गुरुग्रहः	Jupiter
मिशेल बाचेलेत	Michelle Bachelet
बिग्-ब्याङ्ग्	Big Bang
युरेनस्-ग्रहः	Uranus
नेप्चून्-ग्रहः	Neptunus
ज्योतिषशास्त्रम्	Astronomi
सिङ्गापुरम्	Singapore
विज्ञानम्	Vetenskap
खगोलशास्त्रम्	Kosmologi
प्लूटो-ग्रहः	Pluto
लिक्टनस्टैन	Liechtenstein
ऐडॉल्फ् हिटलर्	Adolf Hitler
फेस्बुक्	Facebook
द्वितीयविश्वयुद्धम्	Andra världskriget
भ्रष्टाचारः	Korruption
विकिसूक्तयः	Wikiquote
गणितम्	Matematik
लातिनी	Latin
बहरैन	Bahrain
आर्मीनिया	Armenien
सर्बिया	Serbien
चन्द्रः	Månen
आस्ट्रेलिया	Australien
भौतिकशास्त्रम्	Fysik
अर्जण्टिना	Argentina
पेरु	Peru
जीवशास्त्रम्	Biologi
उत्तर कोरिया	Nordkorea
कुरान्	Koranen
इस्लाम्-मतम्	Islam
वनस्पतिविज्ञानम्	Botanik
लेक वलेंसा	Lech Wałęsa
कविता	Poesi
जम्बीरम्	Citron
कदलीफलम्	Banan
६६६	666
पुष्पाणि	Blomma
सगरमाथा	Mount Everest
नेपोलियन बोनापार्ट	Napoleon I
तारा	Stjärna
सूर्यः	Solen
लूयीस् पाश्चर्	Louis Pasteur
ग्रामः	By
विक्टर ह्यूगो	Victor Hugo
ओशीनिया	Oceanien
सूर्यमंडलम्	Solsystemet
उदजन	Väte
हीलियम्	Helium
लीथियम्	Litium
अहोरात्रम्	Dygn
वर्षः	År
लिस्बन	Lissabon
इचिरो सुजुकी	Ichiro Suzuki
बोरान	Bor
निकोलस् कपरनिकस्	Nicolaus Copernicus
क्लियोपैत्रा	Kleopatra VII av Egypten
सङ्गीतम्	Musik
मास्कोनगरम्	Moskva
इतालवी भाषा	Italienska
चाड	Tchad
न्यूजिलैण्ड्	Nya Zeeland
भारतम्	Indien
फ्रान्सियम	Francium
टुवालु	Tuvalu
अयः	Järn
टोंगा	Tonga
गन्धकः	Svavel
समोआ	Samoa
सोलोमन-द्वीप	Salomonöarna
पपुवा न्यू गिनी	Papua Nya Guinea
विलियम शेक्सपीयर	William Shakespeare
नौरु	Nauru
पोटासियम्	Kalium
सीसम्	Bly
किरिबाटी	Kiribati
मंगोलिया	Mongoliet
फिजी	Fiji
वेनेजुयेला	Venezuela
चतुरङ्गक्रीडा	Schack
चङ्गेझ खान	Djingis khan
मेन	Maine
क्रोमियम	Krom
अश्वः	Häst
जन्तवः	Djur
पेरेग्वाय	Paraguay
गयाना	Guyana
कला	Konst
एक्वाडोर	Ecuador
कोलोम्बिया	Colombia
बौद्धधर्मः	Buddhism
बोलिविया	Bolivia
ताम्रम्	Koppar
ओषधयः	Växt
सेंड विन्सेन्ड ग्रेनदिनेश्च	Saint Vincent och Grenadinerna
दस्ता	Zink
न्‍यू हेम्‍पशायर	New Hampshire
सेंट लूसिया	Saint Lucia
लियोनार्दो दा विन्सी	Leonardo da Vinci
सेंट किट्	Saint Kitts och Nevis
जमैका	Jamaica
ग्रेनाडा	Grenada
मासचुसेट्‍स	Massachusetts
ग्वाटेमाला	Guatemala
बहामास	Bahamas
कनेक्टिकट्	Connecticut
अण्टीग्वा	Antigua och Barbuda
हवाई	Hawaii
हांडूरस	Honduras
डोमोनिका	Dominica
डोमोनिकन रिपब्लिक	Dominikanska republiken
उत्तरध्रुवीयमहासागरः	Norra ishavet
एल-साल्वाडोर	El Salvador
ईरान	Iran
इराक्	Irak
अलास्का	Alaska
कोस्टा रीका	Costa Rica
इजराइल	Israel
पानामा	Panama
यमन	Jemen
जार्डन	Jordanien
निकारगुवा	Nicaragua
फ्लोरिडा	Florida
किरगिस्थान	Kirgizistan
