ஆப்பிரிக்கா	Afrika
ஜப்பான்	Japan
தென் அமெரிக்கா	Sydamerika
நோர்வே	Norge
இங்கிலாந்து	England
இசுக்கொட்லாந்து	Skottland
வேல்ஸ்	Wales
வட அயர்லாந்து	Nordirland
அயர்லாந்து குடியரசு	Irland
அங்கேரி	Ungern
எசுப்பானியா	Spanien
அமெரிக்க ஐக்கிய நாடு	USA
பெல்ஜியம்	Belgien
லக்சம்பர்க்	Luxemburg
அண்டம்	Universum
புவி	Jorden
உயிர்	Liv
இறப்பு	Döden
மனிதர்	Människa
இன்பம்	Lycka
சியார்ச் வாசிங்டன்	George Washington
டக்ளஸ் ஆடம்ஸ்	Douglas Adams
டிம் பேர்னேர்ஸ்-லீ	Tim Berners-Lee
இஸ்டான்லி குப்ரிக்கு	Stanley Kubrick
மாயா காலக்கணக்கு முறை	Mayakalendern
பின்லாந்து	Finland
சுவீடன்	Sverige
டென்மார்க்	Danmark
போலந்து	Polen
லித்துவேனியா	Litauen
இத்தாலி	Italien
சுவிட்சர்லாந்து	Schweiz
ஆசுதிரியா	Österrike
கிரேக்கம் (நாடு)	Grekland
துருக்கி	Turkiet
பியர்	Öl
போர்த்துகல்	Portugal
ஐரோப்பா	Europa
ஆசியா	Asien
வட அமெரிக்கா	Nordamerika
அன்டார்க்டிக்கா	Antarktis
விக்கிப்பீடியா	Wikipedia
நெதர்லாந்து	Nederländerna
ஆண்குறி	Penis
பி.எச்.பி	PHP
நியூயார்க் நகரம்	New York
வாசிங்டன், டி. சி.	Washington, D.C.
சான் பிரான்சிஸ்கோ	San Francisco
பெர்லின்	Berlin
லாஸ் ஏஞ்சலஸ்	Los Angeles
போயிங்	Boeing
ஏர்பஸ்	Airbus
கணினி	Dator
பேர்ன்	Bern
ஜெனீவா	Genève
சூரிக்கு	Zürich
இணையம்	Internet
பராக் ஒபாமா	Barack Obama
உருகுவை	Uruguay
பேசெல்	Basel
கணினி அச்சுப்பொறி	Skrivare
மீடியாவிக்கி	Mediawiki
இலண்டன்	London
கெய்ரோ	Kairo
தலைவலி	Huvudvärk
அலெக்சாந்திரியா	Alexandria
ஆப்பிள்	Äpple
பாரிஸ்	Paris
ஆபிரகாம் லிங்கன்	Abraham Lincoln
ஆண்ட்ராய்டு இயங்குதளம்	Android (operativsystem)
கூகுள்	Google
மெக்சிக்கோ	Mexiko
அத்திலாந்திக்குப் பெருங்கடல்	Atlanten
அமைதிப் பெருங்கடல்	Stilla havet
கலிபோர்னியா	Kalifornien
பாஸ்டன்	Boston
திங்கள் (கிழமை)	Måndag
பரவெளி	Rum (fysik)
சனவரி	Januari
பெப்ரவரி	Februari
மார்ச்	Mars (månad)
செவ்வாய் (கோள்)	Mars (planet)
கென்யா	Kenya
எதியோப்பியா	Etiopien
அரசன்	Monark
கானா	Ghana
ஏப்ரல்	April
மே	Maj
ஜூன்	Juni
ஜூலை	Juli
ஆகஸ்டு	Augusti
செப்டம்பர்	September
அக்டோபர்	Oktober
நவம்பர்	November
டிசம்பர்	December
செவ்வாய் (கிழமை)	Tisdag
புதன் (கிழமை)	Onsdag
வியாழன் (கிழமை)	Torsdag
ஞாயிறு (கிழமை)	Söndag
அமைச்சர் (சதுரங்கம்)	Löpare (schack)
காலாள் (சதுரங்கம்)	Bonde (schack)
குதிரை (சதுரங்கம்)	Springare
