非洲	Afrika
日本	Japan
南美洲	Sydamerika
挪威	Norge
英格兰	England
苏格兰	Skottland
匈牙利	Ungern
西班牙	Spanien
美国	USA
比利时	Belgien
卢森堡	Luxemburg
地球	Jorden
人	Människa
欢喜	Lycka
芬兰	Finland
瑞典	Sverige
波兰	Polen
立陶宛	Litauen
意大利	Italien
瑞士	Schweiz
奥地利	Österrike
希腊	Grekland
土耳其	Turkiet
啤酒	Öl
葡萄牙	Portugal
欧洲	Europa
亚洲	Asien
维基百科	Wikipedia
尼德兰	Nederländerna
PHP	PHP
纽约市	New York
旧金山	San Francisco
洛杉矶	Los Angeles
计算机	Dator
办合纳	Bern
极乃伐	Genève
苏黎世	Zürich
巴拉克·奥巴马	Barack Obama
乌拉圭	Uruguay
白才尔	Basel
打印机	Skrivare
伦敦	London
开罗	Kairo
苹果	Äpple
墨西哥	Mexiko
大西洋	Atlanten
太平洋	Stilla havet
加利福尼亚	Kalifornien
波士顿	Boston
礼拜一	Måndag
火星	Mars (planet)
肯尼亚	Kenya
礼拜两	Tisdag
礼拜三	Onsdag
礼拜四	Torsdag
礼拜五	Fredag
礼拜六	Lördag
礼拜天	Söndag
法国	Frankrike
世界语	Esperanto
狗	Hund
英国	Storbritannien
貓	Katt
中华人民共和国	Kina
法文	Franska
鱼	Fiskar
巴西	Brasilien
俄罗斯	Ryssland
大海	Hav
圓周率	Pi
Π	Pi (bokstav)
聖保羅	São Paulo
该办克	Québec
德国	Tyskland
白俄罗斯	Vitryssland
德语	Tyska
冰岛	Island
愛沙尼亞	Estland
土星	Saturnus
巧克力	Choklad
飞机	Flygplan
打仗	Krig
拉脱维亚	Lettland
乌克兰	Ukraina
捷克	Tjeckien
斯洛伐克	Slovakien
斯洛文尼亚	Slovenien
摩尔多瓦	Moldavien
罗马尼亚	Rumänien
保加利亚	Bulgarien
罗马	Rom
马其顿	Makedonien
阿爾巴尼亞	Albanien
格陵兰	Grönland
克罗地亚	Kroatien
波黑	Bosnien och Hercegovina
阿塞拜疆	Azerbajdzjan
安道尔	Andorra
塞浦路斯	Cypern
格鲁吉亚	Georgien
哈萨克斯坦	Kazakstan
马耳他	Malta
摩纳哥	Monaco
黑山共和国	Montenegro
梵蒂冈	Vatikanstaten
圣马力诺	San Marino
布鲁塞尔	Bryssel (kommun)
古巴	Kuba
大众汽车	Volkswagen
Java	Java (programspråk)
印度尼西亚	Indonesien
南非	Sydafrika
阿尔及利亚	Algeriet
乌兹别克斯坦	Uzbekistan
欧罗维竞唱歌比赛	Eurovision Song Contest
水	Vatten
木	Trä
电视机	Television
冰岛文	Isländska
智利	Chile
耶稣	Jesus
語言	Språk
英语维基百科	Engelskspråkiga Wikipedia
尼古拉·萨科齐	Nicolas Sarkozy
新加坡	Singapore
科学	Vetenskap
自由軟件	Fri programvara
列支敦士登	Liechtenstein
希特拉	Adolf Hitler
WikiLeaks	Wikileaks
第二次世界大战	Andra världskriget
科隆	Köln
Linux	Linux
数学	Matematik
拉丁文	Latin
巴林	Bahrain
亚美尼亚	Armenien
塞尔维亚	Serbien
月球	Månen
澳大利亚	Australien
物理学	Fysik
阿根廷	Argentina
秘鲁	Peru
朝鲜民主主义人民共和国	Nordkorea
柬埔寨	Kambodja
恐龙	Dinosaurier
回教	Islam
里昂	Lyon
欧洲联盟	Europeiska unionen
女性	Kvinna
诗	Poesi
米蘭	Milano
屁眼	Analöppning
古高尔	Googol
珠穆朗玛峰	Mount Everest
城市	Stad
巴斯德	Louis Pasteur
村	By
大洋洲	Oceanien
太阳系	Solsystemet
氢	Väte
维基共享	Wikimedia Commons
揚聲器	Högtalare
东帝汶	Östtimor
维嘞合朋纳	Villeurbanne
学纳河	Rhône
迪拜	Dubai
瀑瑶兰葡萄酒	Beaujolais
哥白尼	Nicolaus Copernicus
碳	Kol
音乐	Musik
圣皮得斯堡	Sankt Petersburg
北	Norr
新西兰	Nya Zeeland
南	Söder
印度	Indien
西	Väster
氯气	Klor
铅	Bly
蒙古国	Mongoliet
委内瑞拉	Venezuela
国际象棋	Schack
缅因	Maine
苏里南	Surinam
巴拉圭	Paraguay
圭亚那	Guyana
艺术	Konst
厄瓜多尔	Ecuador
哥伦比亚	Colombia
佛教	Buddhism
玻利维亚	Bolivia
特里尼达搭仔多巴哥	Trinidad och Tobago
新罕布什爾	New Hampshire
马萨诸塞	Massachusetts
康涅狄格	Connecticut
鸡	Tamhöna
澤西島	Jersey
猪猡	Gris
伊朗	Iran
伊拉克	Irak
阿拉斯加	Alaska
以色列	Israel
巴拿马	Panama
也門	Jemen
约旦	Jordanien
佛罗里达州	Florida
吉尔吉斯斯坦	Kirgizistan
科威特	Kuwait
老挝	Laos
黎巴嫩	Libanon
俄勒冈	Oregon
马尔代芙	Maldiverna
马来西亚	Malaysia
缅甸	Burma
尼泊尔	Nepal
阿曼	Oman
巴基斯坦	Pakistan
卡塔尔	Qatar
沙特阿拉伯	Saudiarabien
斯里兰卡	Sri Lanka
史太林	Josef Stalin
叙利亚	Syrien
塔吉克斯坦	Tadzjikistan
口袋妖怪	Pokémon
中华民国	Taiwan
泰国	Thailand
火车	Tåg
土库曼斯坦	Turkmenistan
阿拉伯联合酋长国	Förenade Arabemiraten
越南	Vietnam
新西伯利亚	Novosibirsk
大韩民国	Sydkorea
阿富汗	Afghanistan
金	Guld
喀山	Kazan
孟加拉	Bangladesh
马里	Mali
安哥拉	Angola
不丹	Bhutan
文莱	Brunei
菲律宾	Filippinerna
牛顿	Isaac Newton
OpenStreetMap	Open Street Map
量子力学	Kvantmekanik
突尼斯	Tunisien
赞比亚	Zambia
津巴布韦	Zimbabwe
北京	Peking
贝宁	Benin
博茨瓦纳	Botswana
布隆迪	Burundi
刚果共和国	Kongo-Brazzaville
刚果民主共和国	Kongo-Kinshasa
甘地	Mahatma Gandhi
连环画	Tecknad serie
冈比亚	Gambia
科特迪瓦	Elfenbenskusten
喀麦隆	Kamerun
尼日利亚	Nigeria
索马里	Somalia
铌	Niob
凱撒	Julius Caesar
苏丹	Sudan
汉堡	Hamburg
联合国	Förenta nationerna
唐担	Dante Alighieri
艾哈迈德堡	Ahmedabad
锡	Tenn
克林顿总统	Bill Clinton
孟买	Bombay
波多黎各	Puerto Rico
卡纳塔克邦	Karnataka
列农	John Lennon
爱达荷州	Idaho
华盛顿州	Washington (delstat)
科索沃	Kosovo
潘基文	Ban Ki-moon
Kofi Annan	Kofi Annan
分类:页面分类	Kategori:Topp
多特蒙德	Dortmund
冬天	Vinter
西班牙语	Spanska
匹兹堡	Pittsburgh
费城	Philadelphia
金奈	Chennai
班加罗尔	Bangalore
钞票	Pengar
纽约州	New York (delstat)
罗德岛	Rhode Island
昆虫	Insekter
宾夕法尼亚	Pennsylvania
Uetersen	Uetersen
奧古斯都	Augustus
微软视窗	Microsoft Windows
直布罗陀	Gibraltar
布宜诺斯艾利斯	Buenos Aires
东京都	Tokyo prefektur
爱荷华州	Iowa
里昂地铁	Lyons tunnelbana
印地语	Hindi
艾迪托·比娅呋	Édith Piaf
因斯孛鲁克	Innsbruck
都柏林	Dublin
法兰克福	Frankfurt am Main
天主教	Katolicism
圣经	Bibeln
金边	Phnom Penh
胡志明市	Ho Chi Minh-staden
河內市	Hanoi
真耶稣教会	The True Jesus Church
英语	Engelska
曼谷	Bangkok
臺北市	Taipei
同海市	Dong Hoi
Końskowola	Końskowola
达累斯萨拉姆	Dar es-Salaam
Al-Khartoum	Khartoum
疾画合	Givors
1月11号	11 januari
明斯克	Minsk
微软公司	Microsoft
库鲁夫	Kurów
化学	Kemi
2月19号	19 februari
Visual Basic	Visual Basic
本笃十六世	Benedictus XVI
12月25号	25 december
8月4号	4 augusti
8月31号	31 augusti
迈克尔·杰克逊	Michael Jackson
巴西利亞	Brasília
圣地牙哥	Santiago de Chile
坎培拉	Canberra
悉尼	Sydney
墨尔本	Melbourne
木卫三	Ganymedes (måne)
珀斯	Perth, Western Australia
西澳大利亚州	Western Australia
北领地 (澳大利亚)	Northern Territory
苏门答腊岛	Sumatra
突尼斯市	Tunis
德黑兰	Teheran
亚的斯亚贝巴	Addis Abeba
安卡拉	Ankara
贝尔格莱德	Belgrad
分类:维基百科模板	Kategori:Mallar
爪哇岛	Java
法属圭亚娜	Franska Guyana
安曼	Amman
贝鲁特	Beirut
