非洲	Afrika
日本	Japan
南美洲	Sydamerika
挪威	Norge
英倫	England
蘇格蘭	Skottland
威爾斯	Wales
北愛爾蘭	Nordirland
愛爾蘭共和國	Irland
匈牙利	Ungern
西班牙	Spanien
美國	USA
比利時	Belgien
盧森堡	Luxemburg
宇宙	Universum
地球	Jorden
生命	Liv
死	Döden
人	Människa
開心	Lycka
佐治華盛頓	George Washington
李柏納	Tim Berners-Lee
Leet	Leet
寇比力克	Stanley Kubrick
瑪雅曆法	Mayakalendern
維基數據	Wikidata
芬蘭	Finland
瑞典	Sverige
丹麥	Danmark
波蘭	Polen
立陶宛	Litauen
意大利	Italien
瑞士	Schweiz
奧地利	Österrike
希臘	Grekland
土耳其	Turkiet
啤酒	Öl
葡萄牙	Portugal
歐洲	Europa
亞洲	Asien
北美洲	Nordamerika
南極洲	Antarktis
維基百科	Wikipedia
荷蘭	Nederländerna
朘	Penis
PHP	PHP
紐約市	New York
華盛頓特區	Washington, D.C.
三藩市	San Francisco
柏林	Berlin
洛杉磯	Los Angeles
波音	Boeing
空中客車	Airbus
電腦	Dator
伯恩	Bern
日內瓦	Genève
蘇黎世	Zürich
互聯網	Internet
奧巴馬	Barack Obama
烏拉圭	Uruguay
巴塞爾	Basel
列印機	Skrivare
MediaWiki	Mediawiki
倫敦	London
開羅	Kairo
頭刺	Huvudvärk
亞歷山大港	Alexandria
蘋果	Äpple
巴黎	Paris
林肯	Abraham Lincoln
Android	Android (operativsystem)
Google	Google
墨西哥	Mexiko
大西洋	Atlanten
太平洋	Stilla havet
加利福尼亞州	Kalifornien
波士頓	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
星期一	Måndag
空間	Rum (fysik)
1月	Januari
2月	Februari
3月	Mars (månad)
火星	Mars (planet)
肯雅	Kenya
埃塞俄比亞	Etiopien
君主	Monark
加納	Ghana
4月	April
5月	Maj
6月	Juni
7月	Juli
8月	Augusti
9月	September
10月	Oktober
11月	November
12月	December
星期二	Tisdag
星期三	Onsdag
星期四	Torsdag
星期五	Fredag
星期六	Lördag
星期日	Söndag
獅子	Lejon
法國	Frankrike
世界語	Esperanto
狗	Hund
英國	Storbritannien
貓	Katt
中華人民共和國	Kina
法文	Franska
維基辭典	Wiktionary
魚	Fiskar
乙醇	Etanol
酒	Alkoholdryck
巴西	Brasilien
酒精	Alkoholer
奧朗德	François Hollande
俄羅斯	Ryssland
鯨魚	Valar
約郡	Yorkshire
正方形	Kvadrat
海	Hav
黑海	Svarta havet
圓周率	Pi
Π	Pi (bokstav)
Wiki	Wiki
多倫多	Toronto
阿拉巴馬州	Alabama
聖保羅	São Paulo
聖保羅州	São Paulo (delstat)
魁北克省	Québec
意大利薄餅	Pizza
意式麪	Pasta
維基媒體基金會	Wikimedia Foundation
占美威爾斯	Jimmy Wales
德國	Tyskland
白俄羅斯	Vitryssland
德文	Tyska
冰島	Island
上帝	Gud
愛沙尼亞	Estland
甘民樂	David Cameron
土星	Saturnus
朱古力	Choklad
車厘子	Körsbär
飛機	Flygplan
打仗	Krig
1	1 (tal)
2	2 (tal)
3	3 (tal)
4	4 (tal)
5	5 (tal)
0	0 (tal)
無限大	Oändlighet
喬治布殊	George W. Bush
拉脫維亞	Lettland
烏克蘭	Ukraina
捷克	Tjeckien
斯洛伐克	Slovakien
斯洛文尼亞	Slovenien
維爾紐斯	Vilnius
摩爾多瓦	Moldavien
羅馬尼亞	Rumänien
保加利亞	Bulgarien
羅馬	Rom
馬其頓共和國	Makedonien
阿爾巴尼亞	Albanien
格陵蘭	Grönland
克羅地亞	Kroatien
波斯尼亞	Bosnien och Hercegovina
努克	Nuuk
阿塞拜疆	Azerbajdzjan
安道爾	Andorra
塞浦路斯	Cypern
格魯吉亞	Georgien
哈薩克	Kazakstan
馬耳他	Malta
摩納哥	Monaco
黑山	Montenegro
梵蒂岡	Vatikanstaten
聖馬連奴	San Marino
布魯塞爾	Bryssel (kommun)
布魯塞爾首都區	Bryssel (region)
古巴	Kuba
伯利茲	Belize
巴黎鐵塔	Eiffeltornet
巴巴多斯	Barbados
勒士啤梨派	Raspberry Pi
福士汽車	Volkswagen
英特爾	Intel
鍵盤 (電腦)	Tangentbord
Java程式語言	Java (programspråk)
印尼	Indonesien
QWERTY鍵盤	QWERTY
莫札特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
土耳其話	Turkiska
南非共和國	Sydafrika
Linkin Park	Linkin Park
阿爾及利亞	Algeriet
維基文庫	Wikisource
颶風珊迪	Orkanen Sandy
月即別	Uzbekistan
塔什干	Tasjkent
華沙	Warszawa
威士忌	Whisky
葡萄酒	Vin
水	Vatten
干邑	Cognac (dryck)
真皮	Läder
木	Trä
電視	Television
性	Kön
鹹濕	Pornografi
冰島文	Isländska
莫奈	Claude Monet
委拉斯蓋茲	Diego Velázquez
智利	Chile
耶穌	Jesus
皮禮士利	Elvis Presley
體罰	Kroppsstraff
伽利略	Galileo Galilei
水星	Merkurius
歷史	Historia
蘋果公司	Apple Inc.
金星	Venus
語言	Språk
愛	Kärlek
專政	Diktatur
星系	Galax
木星	Jupiter
巴切萊特	Michelle Bachelet
銀河	Vintergatan
宇宙大爆炸	Big Bang
天王星	Uranus
英文維基百科	Engelskspråkiga Wikipedia
薩爾科齊	Nicolas Sarkozy
海王星	Neptunus
天文	Astronomi
星架坡	Singapore
科學	Vetenskap
冥王星	Pluto
滿地可	Montréal
自由軟件	Fri programvara
聖母瑪利亞	Jungfru Maria
列支敦士登	Liechtenstein
運動	Sport
劍橋	Cambridge
希特拉	Adolf Hitler
Facebook	Facebook
WikiLeaks	Wikileaks
阿桑奇	Julian Assange
第一次世界大戰	Första världskriget
第二次世界大戰	Andra världskriget
第三次世界大戰	Tredje världskriget
古龍 (德國)	Köln
貪污	Korruption
維基書本	Wikibooks
維基語錄	Wikiquote
維基學府	Wikiversity
維基遊埠	Wikivoyage
伏特加	Vodka
格仔餅	Våffla
鐘	Ur
Ubuntu	Ubuntu
斯科普里	Skopje
Linux	Linux
數學	Matematik
拉丁話	Latin
巴林	Bahrain
亞美尼亞	Armenien
楔形字	Kilskrift
希格斯玻色子	Higgsboson
塞爾維亞	Serbien
月光	Månen
伊斯坦堡	Istanbul
澳洲	Australien
物理	Fysik
阿根廷	Argentina
秘魯	Peru
生物學	Biologi
不明飛行物體	Ufo
朝鮮民主主義人民共和國	Nordkorea
柬埔寨	Kambodja
柯伊伯帶	Kuiperbältet
可蘭經	Koranen
恐龍	Dinosaurier
動物學	Zoologi
回敎	Islam
梨	Päronsläktet
盧布爾雅那	Ljubljana
植物學	Botanik
Lech Wałęsa	Lech Wałęsa
轆	Hjul
狄德羅	Denis Diderot
心智	Psyke
和平 (關係)	Fred
不列顛百科全書	Encyclopædia Britannica
里昂	Lyon
歐洲聯盟	Europeiska unionen
萬維網	World Wide Web
女人	Kvinna
索菲亞	Sofia
唐吉訶德	Don Quijote
詩	Poesi
MegaUpload	Megaupload
切爾諾貝爾核災	Tjernobylolyckan
米蘭	Milano
友情	Vänskap
拖連奴	Turin
屎	Avföring
屎窟竉	Analöppning
胳肋底	Armhåla
檸檬	Citron
波德萊爾	Charles Baudelaire
蕉	Banan
666年	666
花	Blomma
Googol	Googol
Googolplex	Googolplex
馬里亞納海溝	Marianergraven
珠穆朗瑪峰	Mount Everest
解剖學	Anatomi
城市	Stad
拿破崙	Napoleon I
奧林匹斯山 (火星)	Olympus Mons
恆星	Stjärna
太陽	Solen
天	Himmel
巴士德	Louis Pasteur
光年	Ljusår
村	By
雨果	Victor Hugo
大洋洲	Oceanien
田徑	Friidrott
太陽系	Solsystemet
波羅的海	Östersjön
香榭麗舍大道	Champs-Élysées
牙	Tänder
氫	Väte
氦	Helium
地獄	Helvete
維基同享	Wikimedia Commons
默克爾	Angela Merkel
鋰	Litium
鈹	Beryllium
音響喇叭	Högtalare
書	Bok
日 (曆法)	Dygn
東帝汶	Östtimor
夜晚	Natt
年	År
世紀	Sekel
白朗峰	Mont Blanc
萊茵河	Rhen
奧斯陸	Oslo
波恩	Bonn
卡托維治	Katowice
黑洞	Svart hål
賈梅士	Luís de Camões
穀神星	Ceres (dvärgplanet)
里斯本	Lissabon
妊神星	Haumea (dvärgplanet)
鳥神星	Makemake (dvärgplanet)
